"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Rome Odunze","WR","CHI",12.6,1.91,0.383,10.7,15.3,3.26,3.04,4.45,42,45,32,9,"4",NA,NA,87
"Travis Etienne","RB","JAC",10.5,1.58,1.46,8.18,12.3,3.23,3.15,3.79,43,43,41,30,"8",NA,NA,72
"Emeka Egbuka","WR","TB",12.2,2.45,0.0906,8.96,15.2,2.88,1.28,4.34,44,70,34,10,"4",NA,NA,99
"Jalen Hurts","QB","PHI",21.4,0.795,1.23,20.3,22.2,2.8,3.79,1.81,45,42,57,3,"3",NA,NA,3
"Tyreek Hill","WR","MIA",12.1,1.24,0.0656,10.3,13.3,2.79,2.63,2.45,46,48,51,11,"4",NA,NA,54
"Tucker Kraft","TE","GB",9.87,1.48,0.86,7.76,11.6,2.73,2,3.69,47,57,42,3,"3",NA,NA,91
"Courtland Sutton","WR","DEN",12.1,1.64,0.0901,10.3,14.1,2.72,2.65,3.29,48,47,45,12,"4",NA,NA,79
"A.J. Brown","WR","PHI",12,1.45,0.00147,9.87,13,2.63,2.19,2.19,49,55,54,13,"4",NA,NA,66
"Mike Evans","WR","TB",12,1.88,0.117,10.3,13.7,2.63,2.59,2.83,50,49,49,14,"4",NA,NA,86
"Garrett Wilson","WR","NYJ",11.9,0.88,0.288,10.6,12.6,2.51,2.88,1.76,51,46,59,15,"5",NA,NA,18
"George Pickens","WR","DAL",11.6,1.99,0.0894,8.86,13.9,2.22,1.18,3.08,52,73,46,16,"5",NA,NA,90
"Zay Flowers","WR","BAL",11.5,1.63,0.237,9.77,13.7,2.14,2.09,2.92,53,56,48,17,"5",NA,NA,77
"Matt Prater","K","BUF",10.4,0.485,1.02,9.82,10.8,1.97,3.11,0.975,54,44,83,1,"1",NA,NA,1
"Brian Thomas Jr.","WR","JAC",11.2,0.867,0.0553,9.92,12,1.9,2.24,1.14,55,54,75,18,"5",NA,NA,17
"Sam LaPorta","TE","DET",9.01,1.54,0.0643,6.72,10.3,1.87,0.949,2.42,56,82,52,4,"3",NA,NA,99
"Quentin Johnston","WR","LAC",11.2,1.57,0.00686,9.64,13.5,1.84,1.96,2.63,57,58,50,19,"5",NA,NA,73
"Jakobi Meyers","WR","LVR",11.2,0.74,0.165,10.1,12,1.84,2.43,1.14,58,51,76,20,"5",NA,NA,7
"Tyler Warren","TE","IND",8.95,1.35,0.317,6.84,10.1,1.8,1.07,2.22,59,78,53,5,"3",NA,NA,86
"Cameron Heyward","DL","PIT",3.95,NA,1.15,3.95,3.95,1.78,1.89,1.66,60,60,62,1,"1",NA,NA,NA
"Rhamondre Stevenson","RB","NE",9.07,1.12,1.06,7.57,10.5,1.77,2.54,2,61,50,55,31,"9",NA,NA,39
"Zack Baun","LB","PHI",5.75,0.212,0.5,5.61,5.88,1.7,1.65,1.69,62,65,61,1,"1",NA,NA,40
"Drake London","WR","ATL",11,0.746,0.106,10,11.9,1.67,2.32,1.06,63,53,78,21,"5",NA,NA,8
"Patrick Mahomes","QB","KC",20.1,1.36,0.0377,18.3,21.8,1.57,1.77,1.36,64,61,69,4,"3",NA,NA,40
"Tetairoa McMillan","WR","CAR",10.9,1.19,0.215,9.28,12.2,1.57,1.6,1.37,65,67,68,22,"6",NA,NA,49
"Jayden Daniels","QB","WAS",20.1,2.32,0.249,16.9,22.2,1.53,0.397,1.79,66,108,58,5,"4",NA,NA,71
"Travis Kelce","TE","KC",8.63,0.618,0.256,7.68,9.09,1.48,1.92,1.22,67,59,72,6,"4",NA,NA,14
"Ladd McConkey","WR","LAC",10.7,1.4,0.049,8.76,12.2,1.35,1.08,1.42,68,77,66,23,"6",NA,NA,65
"Ricky Pearsall","WR","SF",10.6,1.68,0.0886,8.36,12.6,1.3,0.683,1.75,69,90,60,24,"6",NA,NA,82
"Justin Herbert","QB","LAC",19.9,0.861,0.0155,18.8,20.9,1.28,2.34,0.464,70,52,103,6,"4",NA,NA,6
"Caleb Williams","QB","CHI",19.8,1.38,0.454,18.1,21.4,1.27,1.63,0.973,71,66,84,7,"4",NA,NA,43
"Hunter Henry","TE","NE",8.37,0.993,0.161,6.85,9.25,1.23,1.08,1.38,72,76,67,7,"4",NA,NA,57
"Keenan Allen","WR","LAC",10.6,1.18,0.0818,8.8,11.5,1.21,1.13,0.684,73,74,90,25,"6",NA,NA,48
"Tremaine Edmunds","LB","CHI",5.25,0.354,0.55,5.03,5.48,1.2,1.06,1.28,74,79,71,2,"2",NA,NA,64
"Chris Olave","WR","NO",10.5,1.05,0.559,8.98,11.5,1.13,1.3,0.725,75,69,88,26,"7",NA,NA,31
"Coby Bryant","DB","SEA",6.28,0.389,0.325,6.03,6.52,1.12,0.965,1.19,76,81,73,1,"1",NA,NA,96
"Jake Ferguson","TE","DAL",8.21,0.629,0.0387,7.47,8.95,1.07,1.71,1.08,77,64,77,8,"4",NA,NA,17
"Juwan Johnson","TE","NO",8.17,1.07,0.177,6.79,9.3,1.03,1.03,1.43,78,80,65,9,"4",NA,NA,69
"Riley Patterson","K","MIA",9.37,1.01,0.364,8.27,10.4,0.947,1.56,0.539,79,68,97,2,"1",NA,NA,10
"David Njoku","TE","CLE",8,1.24,0.098,6.63,9.7,0.851,0.868,1.83,80,85,56,10,"4",NA,NA,80
"Brock Purdy","QB","SF",19.4,0.885,0.0437,18.3,20.4,0.814,1.75,0,81,62,130,8,"4",NA,NA,14
"Jourdan Lewis","DB","JAC",5.95,0.212,0.175,5.82,6.08,0.8,0.753,0.755,82,86,87,2,"1",NA,NA,66
"Jordan Love","QB","GB",19.3,1.19,0.424,18.2,21.1,0.771,1.74,0.699,83,63,89,9,"4",NA,NA,20
"T.J. Hockenson","TE","MIN",7.9,0.804,0.589,7.04,9.04,0.753,1.28,1.17,84,71,74,11,"5",NA,NA,46
"Jacory Croskey-Merritt","RB","WAS",8.01,1.41,0.49,5.94,9.49,0.713,0.912,1.03,85,84,80,32,"9",NA,NA,59
"Fred Warner","LB","SF",4.7,0.0707,0.1,4.65,4.74,0.65,0.692,0.55,86,89,94,3,"2",NA,NA,16
"D.J. Wonnum","DL","CAR",2.8,0,0.1,2.8,2.8,0.625,0.737,0.513,87,87,98,2,"1",NA,NA,1
"Camryn Bynum","DB","IND",5.78,0.247,0.125,5.62,5.93,0.625,0.555,0.602,87,93,91,3,"2",NA,NA,76
"Brandon Aubrey","K","DAL",9.01,2.32,0.0511,5.65,10.9,0.584,-1.06,1.02,88,308,81,3,"1",NA,NA,99
"D.J. Moore","WR","CHI",9.91,1.12,0.00429,8.16,10.8,0.572,0.486,0,89,103,130,27,"7",NA,NA,39
"Deebo Samuel","WR","WAS",9.91,1.17,0.00205,8.15,10.8,0.568,0.475,0.0222,90,105,128,28,"7",NA,NA,44
"DK Metcalf","WR","PIT",9.91,1.67,0.0167,7.85,11.8,0.566,0.169,0.997,91,120,82,29,"7",NA,NA,80
"Daiyan Henley","LB","LAC",4.6,0.283,0.125,4.42,4.78,0.55,0.457,0.585,92,106,93,4,"3",NA,NA,57
"DeVonta Smith","WR","PHI",9.89,1.07,0.0232,8.33,11,0.549,0.651,0.134,93,91,120,30,"7",NA,NA,35
"Cameron Dicker","K","LAC",8.96,1.32,0.245,7.07,10.1,0.533,0.36,0.305,94,110,111,4,"1",NA,NA,45
"Jauan Jennings","WR","SF",9.87,1.36,0.00619,8.19,11.3,0.526,0.515,0.504,95,100,99,31,"7",NA,NA,63
"Will McDonald","DL","NYJ",2.7,0.141,0.075,2.61,2.79,0.525,0.547,0.502,96,94,100,3,"2",NA,NA,61
"Terry McLaurin","WR","WAS",9.86,2.17,0.0094,6.5,11.6,0.519,-1.18,0.773,97,332,86,32,"7",NA,NA,93
"Jerry Jeudy","WR","CLE",9.85,1.04,0.195,8.4,10.9,0.51,0.717,0.0696,98,88,125,33,"7",NA,NA,30
"DJ Turner","DB","CIN",5.65,0.0707,0.025,5.6,5.7,0.5,0.542,0.365,99,95,106,4,"2",NA,NA,17
"Brian Branch","DB","DET",5.62,0.389,0.075,5.38,5.87,0.475,0.315,0.543,100,112,96,5,"3",NA,NA,92
"Jordan Davis","DL","PHI",2.63,0.0354,4.44e-16,2.6,2.65,0.45,0.54,0.36,101,97,107,4,"2",NA,NA,11
"Andrew Van Ginkel","DL","MIN",2.62,0.106,0.025,2.56,2.69,0.45,0.495,0.405,102,101,105,5,"2",NA,NA,45
"Maxx Crosby","DL","LVR",2.6,0.0707,4.44e-16,2.56,2.64,0.425,0.493,0.357,103,102,108,6,"2",NA,NA,36
"Derrick Brown","DL","CAR",2.6,NA,0.2,2.6,2.6,0.425,0.537,0.312,104,98,110,7,"3",NA,NA,NA
"Robert Spillane","LB","NE",4.47,0.318,0.225,4.27,4.68,0.425,0.31,0.482,105,113,102,5,"4",NA,NA,63
"Derek Stingley Jr.","DB","HOU",5.55,0.0707,0.2,5.5,5.6,0.4,0.442,0.265,106,107,112,6,"4",NA,NA,17
"Drake Maye","QB","NE",18.9,2.25,0.216,15.9,21.8,0.347,-0.569,1.35,107,208,70,10,"4",NA,NA,66
"Jameson Williams","WR","DET",9.66,1.35,0.22,7.64,10.9,0.315,-0.0375,0.12,108,138,122,34,"7",NA,NA,61
"Texans","DST","HOU",4.3,0.817,0.179,3.4,5.34,0.302,0.285,0.162,109,114,117,1,"1",NA,NA,84
"Jake Bates","K","DET",8.71,1.44,0.177,6.73,10,0.288,0.0199,0.199,110,129,116,5,"1",NA,NA,71
"Da'Shawn Hand","DL","LAC",2.4,NA,0.1,2.4,2.4,0.225,0.337,0.112,111,111,123,8,"4",NA,NA,NA
"Zach Charbonnet","RB","SEA",7.52,2.45,0.169,4.34,10.1,0.223,-0.693,1.63,112,228,63,33,"10",NA,NA,96
"Mack Wilson","LB","ARI",4.25,0.0707,0.1,4.2,4.3,0.2,0.242,0.1,114,115,124,6,"4",NA,NA,9
"Eric Murray","DB","JAC",5.35,0.283,0.025,5.17,5.53,0.2,0.107,0.2,113,123,115,7,"4",NA,NA,83
"Jordan Battle","DB","CIN",5.32,0.247,0.15,5.17,5.48,0.175,0.105,0.152,115,124,118,8,"5",NA,NA,76
"Zach Ertz","TE","WAS",7.31,1.15,0.164,5.76,8.7,0.164,-0.004,0.828,116,131,85,12,"5",NA,NA,77
"Jared Goff","QB","DET",18.7,1.69,0.114,16.7,21,0.13,0.216,0.586,117,118,92,11,"5",NA,NA,57
"Brian Burns","DL","NYG",2.3,0,0.125,2.3,2.3,0.125,0.237,0.0125,118,116,129,9,"5",NA,NA,1
"Broncos","DST","DEN",4.13,0.607,0.122,3.25,4.7,0.122,0.141,-0.475,119,122,174,2,"2",NA,NA,68
"Kaimi Fairbairn","K","HOU",8.54,1.72,0.0994,6.03,10.1,0.111,-0.675,0.212,120,225,113,6,"1",NA,NA,97
"Foyesade Oluokun","LB","JAC",4.15,0.0707,0.025,4.11,4.2,0.1,0.143,0,121,121,130,7,"4",NA,NA,9
"Alex Singleton","LB","DEN",4.15,0.141,0,4.06,4.24,0.1,0.0975,0.045,121,125,126,7,"4",NA,NA,24
"Jaylen Waddle","WR","MIA",9.44,0.823,0.0944,8.22,10.2,0.0944,0.542,-0.616,122,96,197,35,"7",NA,NA,11
"Tyrel Dodson","LB","MIA",4.12,0.106,0.05,4.06,4.19,0.075,0.095,-0.0025,123,126,131,8,"5",NA,NA,21
"TreVeyon Henderson","RB","NE",7.35,1.78,0.0541,5.03,9.52,0.0541,0,1.05,124,130,79,34,"10",NA,NA,82
"Logan Wilson","LB","CIN",4.08,0.177,0.025,3.96,4.19,0.025,0,-0.0075,126,130,132,9,"5",NA,NA,31
"Nate Wiggins","DB","BAL",5.18,0.177,0.025,5.06,5.29,0.025,0,-0.0425,125,130,133,9,"5",NA,NA,54
"Daniel Jones","QB","IND",18.6,2.43,0.0163,16.1,21.9,0.0163,-0.434,1.46,127,183,64,12,"5",NA,NA,77
"Brandon McManus","K","GB",8.44,1.25,0.0114,6.93,9.84,0.0114,0.22,0,128,117,130,7,"1",NA,NA,39
"Bo Nix","QB","DEN",18.6,1.32,0.224,17.4,20.6,0,0.918,0.207,129,83,114,13,"5",NA,NA,34
"Isiah Pacheco","RB","KC",7.3,0.765,0.13,6.28,8.14,0,1.25,-0.324,129,72,157,35,"10",NA,NA,14
"Tee Higgins","WR","CIN",9.34,0.864,0.0561,8.16,10.3,0,0.485,-0.487,129,104,175,36,"7",NA,NA,15
"Mark Andrews","TE","BAL",7.15,0.971,0.148,5.63,7.74,0,-0.14,-0.134,129,146,139,13,"5",NA,NA,51
"Spencer Shrader","K","IND",8.43,1.68,0.00657,6.27,10.3,0,-0.431,0.438,129,182,104,8,"1",NA,NA,94
"Lions","DST","DET",4,1.2,0.288,2.79,5.67,0,-0.322,0.492,129,169,101,3,"3",NA,NA,99
"Trey Hendrickson","DL","CIN",2.18,0.177,0.075,2.06,2.29,0,0,0,129,130,130,10,"6",NA,NA,70
"Roquan Smith","LB","BAL",4.05,0.424,0.05,3.78,4.32,0,-0.183,0.125,129,148,121,10,"5",NA,NA,75
"Percy Butler","DB","WAS",5.15,NA,8.88e-16,5.15,5.15,0,0.0875,-0.18,129,127,142,10,"5",NA,NA,NA
"Kerby Joseph","DB","DET",5.15,0.283,0.05,4.97,5.33,-8.88e-16,-0.0925,0,130,141,130,11,"5",NA,NA,83
"Jake Elliott","K","PHI",8.42,1.13,0.0156,6.76,9.26,-0.00657,0.0538,-0.585,131,128,193,9,"1",NA,NA,23
"John Parker Romo","K","ATL",8.4,0.89,0.119,7.28,9.33,-0.0222,0.573,-0.513,132,92,184,10,"1",NA,NA,3
"Zaire Franklin","LB","IND",4,0.354,0.15,3.78,4.22,-0.05,-0.188,0.03,134,149,127,11,"6",NA,NA,64
"Ernest Jones","LB","SEA",4,0.212,0,3.86,4.14,-0.05,-0.0975,-0.06,134,142,135,11,"6",NA,NA,46
"Xavier Watts","DB","ATL",5.1,0.0707,0.1,5.06,5.14,-0.05,-0.0075,-0.185,133,132,143,12,"6",NA,NA,17
"Marvin Harrison Jr.","WR","ARI",9.29,1.23,0.0498,7.46,10.4,-0.0561,-0.221,-0.421,135,155,169,37,"7",NA,NA,51
"Carl Granderson","DL","NO",2.1,0.0707,0.025,2.05,2.14,-0.075,-0.0075,-0.143,136,133,140,11,"6",NA,NA,36
"Gregory Rousseau","DL","BUF",2.08,0.0354,0.025,2.05,2.1,-0.1,-0.01,-0.19,137,137,144,12,"7",NA,NA,11
"Tuli Tuipulotu","DL","LAC",2.08,0.0354,0,2.05,2.1,-0.1,-0.01,-0.19,137,137,144,12,"7",NA,NA,11
"Michael Pittman","WR","IND",9.24,1.28,0.43,7.89,11.2,-0.106,0.215,0.351,138,119,109,38,"8",NA,NA,56
"Will Anderson","DL","HOU",2.05,0.283,0.025,1.87,2.23,-0.125,-0.193,-0.0575,139,150,134,13,"7",NA,NA,92
"Kareem Hunt","RB","KC",7.17,1.13,0.816,5.56,8.47,-0.13,0.536,0,140,99,130,36,"10",NA,NA,46
"Wil Lutz","K","DEN",8.28,1.32,0.0578,6.71,9.76,-0.141,0,-0.0812,141,130,136,11,"1",NA,NA,52
"Dalton Kincaid","TE","BUF",7,0.774,0.152,5.77,7.51,-0.148,0,-0.361,142,130,164,14,"6",NA,NA,40
"Nik Bonitto","DL","DEN",2.03,0.106,0.025,1.96,2.09,-0.15,-0.105,-0.195,143,143,146,14,"7",NA,NA,45
"Riley Moss","DB","DEN",5,0.212,0.025,4.86,5.14,-0.15,-0.198,-0.195,144,151,145,13,"6",NA,NA,73
"Roy Robertson-Harris","DL","NYG",2,NA,0.05,2,2,-0.175,-0.0625,-0.288,145,140,151,15,"8",NA,NA,NA
"Keisean Nixon","DB","GB",4.97,0.0354,0.025,4.95,5,-0.175,-0.11,-0.332,146,144,158,14,"6",NA,NA,7
"Josh Jobe","DB","SEA",4.97,0.389,0,4.73,5.22,-0.175,-0.335,-0.107,146,170,137,14,"6",NA,NA,92
"Daniel Carlson","K","LVR",8.23,1.64,0.055,5.81,9.55,-0.199,-0.899,-0.288,147,275,152,12,"1",NA,NA,90
"Bobby Okereke","LB","NYG",3.85,0.141,0.15,3.76,3.94,-0.2,-0.203,-0.255,150,153,149,12,"6",NA,NA,24
"Marshon Lattimore","DB","WAS",4.95,0.141,8.88e-16,4.86,5.04,-0.2,-0.203,-0.29,148,154,153,15,"6",NA,NA,48
"Brandon Jones","DB","DEN",4.95,0.424,0.025,4.68,5.22,-0.2,-0.383,-0.11,149,177,138,16,"6",NA,NA,97
"Baker Mayfield","QB","TB",18.3,0.562,0.262,17.6,19,-0.224,1.12,-1.44,151,75,372,14,"5",NA,NA,1
"Alex Highsmith","DL","PIT",1.95,NA,0.075,1.95,1.95,-0.225,-0.113,-0.337,153,145,160,16,"8",NA,NA,NA
"Mike Sainristil","DB","WAS",4.93,0.177,8.88e-16,4.81,5.04,-0.225,-0.25,-0.292,152,157,154,17,"6",NA,NA,54
"Julian Love","DB","SEA",4.92,0.177,0.025,4.81,5.04,-0.225,-0.25,-0.293,154,158,155,18,"6",NA,NA,54
"Quentin Lake","DB","LAR",4.9,0.141,0.025,4.81,4.99,-0.25,-0.253,-0.34,155,159,161,19,"7",NA,NA,42
"Matt Gay","K","WAS",8.17,1.63,0.0827,5.87,9.66,-0.254,-0.833,-0.177,156,257,141,13,"1",NA,NA,87
"Reed Blankenship","DB","PHI",4.88,0.177,0.025,4.76,4.99,-0.275,-0.3,-0.343,157,164,162,20,"7",NA,NA,54
"Steelers","DST","PIT",3.72,0.996,0.125,3.06,5.18,-0.288,-0.05,0,158,139,130,4,"4",NA,NA,97
"Dallas Goedert","TE","PHI",6.85,0.996,0.288,5.47,7.87,-0.299,-0.296,0,159,162,130,15,"6",NA,NA,60
"T.J. Watt","DL","PIT",1.88,0.177,0.075,1.76,1.99,-0.3,-0.3,-0.3,161,163,156,17,"9",NA,NA,70
"Sydney Brown","DB","PHI",4.85,0.99,8.88e-16,4.22,5.48,-0.3,-0.843,0.15,160,259,119,21,"7",NA,NA,99
"Decobie Durant","DB","LAR",4.85,0.141,0.05,4.76,4.94,-0.3,-0.303,-0.39,162,165,166,22,"7",NA,NA,48
"Tyler Loop","K","BAL",8.09,1.36,0.0933,6.22,9.45,-0.336,-0.489,-0.394,163,191,167,14,"2",NA,NA,58
"T.J. Edwards","LB","CHI",3.7,0.0707,0.025,3.66,3.74,-0.35,-0.308,-0.45,165,166,170,13,"6",NA,NA,15
"Jamel Dean","DB","TB",4.8,0,0.075,4.8,4.8,-0.35,-0.263,-0.53,164,160,186,23,"7",NA,NA,1
"Tyson Campbell","DB","JAC",4.8,0,0,4.8,4.8,-0.35,-0.263,-0.53,164,160,186,23,"7",NA,NA,1
"Zaven Collins","DL","ARI",1.8,NA,4.44e-16,1.8,1.8,-0.375,-0.263,-0.487,166,160,176,18,"9",NA,NA,NA
"George Karlaftis","DL","KC",1.8,0.141,0,1.71,1.89,-0.375,-0.353,-0.397,166,172,168,18,"9",NA,NA,62
"Jermaine Johnson","DL","NYJ",1.8,0.212,0.05,1.66,1.93,-0.375,-0.398,-0.353,167,178,163,19,"9",NA,NA,76
"Kaden Elliss","LB","ATL",3.68,0.0354,0.075,3.65,3.7,-0.375,-0.31,-0.498,167,167,180,14,"7",NA,NA,3
"Vikings","DST","MIN",3.59,0.966,0.0233,2.68,4.98,-0.413,-0.438,-0.2,168,184,147,5,"5",NA,NA,90
"Rakeem Nunez-Roches","DL","NYG",1.75,NA,0.05,1.75,1.75,-0.425,-0.313,-0.538,170,168,187,20,"10",NA,NA,NA
"Jonathan Greenard","DL","MIN",1.75,0.0707,0,1.7,1.8,-0.425,-0.358,-0.492,170,174,179,20,"10",NA,NA,32
"Jalen Pitre","DB","HOU",4.73,0.177,0.05,4.61,4.84,-0.425,-0.45,-0.492,169,185,178,24,"8",NA,NA,54
"Harrison Butker","K","KC",8,1.41,0.00877,5.95,9.22,-0.43,-0.752,-0.626,171,240,199,15,"2",NA,NA,68
"Bills","DST","BUF",3.57,0.618,0.132,2.76,4.25,-0.436,-0.348,-0.921,172,171,255,6,"6",NA,NA,77
"Jason Myers","K","SEA",7.99,1.53,0.0289,5.7,8.99,-0.438,-1,-0.853,173,296,236,16,"2",NA,NA,81
"Nick Bolton","LB","KC",3.6,0.141,0.025,3.51,3.69,-0.45,-0.453,-0.505,174,186,182,15,"7",NA,NA,24
"Will Reichard","K","MIN",7.96,1.38,0.0325,5.88,8.97,-0.467,-0.825,-0.877,175,256,241,17,"2",NA,NA,65
"Bradley Chubb","DL","MIA",1.7,0.212,4.44e-16,1.56,1.84,-0.475,-0.498,-0.452,176,192,172,21,"10",NA,NA,76
"Mykel Williams","DL","SF",1.7,0.212,0,1.56,1.84,-0.475,-0.498,-0.452,176,192,172,21,"10",NA,NA,76
"Da'Ron Payne","DL","WAS",1.7,0.141,0.025,1.61,1.79,-0.475,-0.453,-0.498,177,186,181,22,"10",NA,NA,62
"Carson Schwesinger","LB","CLE",3.58,0.177,0.025,3.46,3.69,-0.475,-0.5,-0.507,177,194,183,16,"7",NA,NA,31
"Andrew Wingard","DB","JAC",4.67,0.0354,0.125,4.65,4.7,-0.475,-0.41,-0.633,178,180,200,25,"8",NA,NA,7
"Geno Smith","QB","LVR",18.1,1.42,0.446,16.5,20.1,-0.486,-0.00932,-0.376,179,136,165,15,"5",NA,NA,49
"Joshua Karty","K","LAR",7.93,1.33,0.00236,6.05,9.06,-0.5,-0.655,-0.786,180,220,222,18,"2",NA,NA,55
"Laiatu Latu","DL","IND",1.68,0.106,0.025,1.61,1.74,-0.5,-0.455,-0.545,181,187,188,23,"10",NA,NA,45
"Cody Barton","LB","TEN",3.55,0.283,0.075,3.37,3.73,-0.5,-0.593,-0.465,182,210,173,17,"7",NA,NA,54
"Chase McLaughlin","K","TB",7.92,1.38,0.0488,5.97,9.15,-0.502,-0.74,-0.69,183,236,209,19,"2",NA,NA,61
"B.J. Hill","DL","CIN",1.65,0,0.025,1.65,1.65,-0.525,-0.413,-0.638,184,181,201,24,"11",NA,NA,1
