gm,player,position,year,dead_cap_amount
James Vecchio,Gregory Rousseau,DL,2026,1.0
James Vecchio,Isaiah Simmons,DB,2026,1.0
James Vecchio,Jeremy Chinn,DB,2026,1.0
James Vecchio,Tyler Nubin,DB,2026,1.0
Jason Shaffer,Keaton Mitchell,RB,2026,1.0
Jason Shaffer,Michael Gallup,WR,2026,1.0
Jason Shaffer,Luke McCaffrey,WR,2026,1.0
Jason Shaffer,Ja'Lynn Polk,WR,2026,1.0
Jason Shaffer,A.J. Epenesa,DL,2026,1.0
Jason Shaffer,Tuli Tuipoluti,DL,2026,1.0
Jason Shaffer,Boye Mafe,DL,2026,1.0
Jason Shaffer,Rashad Weaver,DL,2026,1.0
Jason Shaffer,Baron Browning,DL,2026,1.0
Jason Shaffer,Quay Walker,LB,2026,1.0
Jason Shaffer,Kamren Curl,DB,2026,1.0
Jason Shaffer,Budda Baker,DB,2026,1.0
Jason Shaffer,Talanoa Hufanga,DB,2026,1.0
Joe Stanek,Cam Akers,RB,2026,4.0
Joe Stanek,Ben Sinnott,TE,2026,1.0
Joe Stanek,Junior Colson,DB,2026,1.0
Kevin Eichenbaum,Will Levis,QB,2026,1.0
Kevin Eichenbaum,Zamir White,RB,2026,4.0
Kevin Eichenbaum,Jerome Ford,RB,2026,2.0
Kevin Eichenbaum,Jaleel McLaughlin,RB,2026,2.0
Kevin Eichenbaum,Nick Chubb,RB,2026,13.0
Kevin Eichenbaum,Joshua Kelley,RB,2026,2.0
Kevin Eichenbaum,Tre Tucker,WR,2026,1.0
Kevin Eichenbaum,Devaugh Vele,WR,2026,1.0
Kevin Eichenbaum,Wan'Dale Robinson,WR,2026,1.0
Kevin Eichenbaum,Michael Wilson,WR,2026,1.0
Kevin Eichenbaum,Rashid Shaheed,WR,2026,1.0
Kevin Eichenbaum,Isaiah Likely,TE,2026,3.0
Kevin Eichenbaum,Jake Ferguson,TE,2026,1.0
Kevin Eichenbaum,Jermaine Johnson II,DL,2026,1.0
Kevin Eichenbaum,Haason Reddick,DL,2026,1.0
Kevin Eichenbaum,Dorian Williams,LB,2026,1.0
Kevin Eichenbaum,Christian Gonzalez,DB,2026,1.0
Nick Piper,Dameon Pierce,RB,2026,1.0
Nick Piper,Carson Steele,RB,2026,1.0
Nick Piper,Christian Kirk,WR,2026,5.0
Nick Piper,Jacob Cowing,WR,2026,1.0
Nick Piper,Jordan Whittington,WR,2026,1.0
Nick Piper,Treylon Burks,WR,2026,1.0
Nick Piper,Erick All,TE,2026,1.0
Nick Piper,Jake Ferguson,TE,2026,1.0
Nick Piper,Noah Fant,TE,2026,1.0
Nick Piper,Jalen Carter,DL,2026,1.0
Nick Piper,Jaelan Phillips,DL,2026,1.0
