"Player","Year","Tot Routes","Target%","Rec Rate","Catch%","Drop%"
"Chase Claypool","2021","267","25.8%","15.7%","60.9%","2.9%"
"Van Jefferson","2021","283","19.1%","8.1%","42.6%","13.0%"
"Mike Williams","2021","271","24.0%","14.4%","60.0%","6.2%"
"Chris Godwin","2021","316","27.2%","19.9%","73.3%","3.5%"
"Robert Woods","2021","276","25.4%","15.9%","62.9%","10.0%"
"DeAndre Hopkins","2021","254","22.8%","14.2%","62.1%","3.4%"
"Cooper Kupp","2021","272","36.0%","28.3%","78.6%","4.1%"
"Tyreek Hill","2021","267","29.6%","20.2%","68.4%","5.1%"
"Stefon Diggs","2021","269","29.4%","18.2%","62.0%","3.8%"
"Tyler Lockett","2021","238","26.5%","18.1%","68.3%","1.6%"
"D.J. Moore","2021","278","29.5%","16.2%","54.9%","4.9%"
"Keenan Allen","2021","304","28.3%","18.1%","64.0%","8.1%"
"Brandin Cooks","2021","241","28.2%","19.5%","69.1%","1.5%"
"Mike Evans","2021","297","18.2%","12.5%","68.5%","3.7%"
"Allen Lazard","2021","212","16.5%","11.8%","71.4%","5.7%"
"Kenny Golladay","2021","252","20.2%","9.5%","47.1%","2.0%"
"Tim Patrick","2021","222","21.6%","14.4%","66.7%","6.3%"
"Tyler Boyd","2021","263","26.2%","16.3%","62.3%","1.4%"
"Courtland Sutton","2021","298","23.2%","13.4%","58.0%","1.4%"
"Jakobi Meyers","2021","265","27.2%","18.9%","69.4%","2.8%"
"Julio Jones","2021","199","22.1%","16.1%","72.7%","4.5%"
"Calvin Ridley*","2021","200","28.5%","16.5%","57.9%","7.0%"
"Justin Jefferson","2020","283","23.7%","17.0%","71.6%","1.5%"
"CeeDee Lamb","2020","281","20.6%","13.9%","67.2%","3.4%"
"Allen Robinson","2020","311","28.6%","19.9%","69.7%","2.2%"
"Chris Godwin","2020","292","20.5%","17.1%","83.3%","1.7%"
"Will Fuller","2020","275","23.6%","16.7%","70.8%","0.0%"
"Kenny Golladay*","2020","136","26.5%","14.7%","55.6%","11.1%"
"Antonio Brown","2020","243","25.5%","18.5%","72.6%","3.2%"
"Curtis Samuel","2020","264","25.0%","16.7%","66.7%","6.1%"
"Corey Davis","2020","223","28.3%","19.3%","68.3%","9.5%"
"JuJu Smith-Schuster","2020","319","23.2%","16.9%","73.0%","2.7%"
"Nelson Agholor","2020","224","24.6%","13.8%","56.4%","9.1%"
"T.Y. Hilton","2020","265","25.3%","14.0%","55.2%","9.0%"
"Rashard Higgins","2020","213","21.6%","14.1%","65.2%","6.5%"
"Marvin Jones","2020","276","23.9%","17.4%","72.7%","1.5%"
"Denzel Mims","2020","230","20.0%","9.6%","47.8%","0.0%"
"Henry Ruggs","2020","200","15.0%","7.0%","46.7%","6.7%"
"Tee Higgins","2020","283","25.4%","15.5%","61.1%","6.9%"
"Brandon Aiyuk","2020","286","24.8%","15.4%","62.0%","2.8%"
"Michael Pittman","2020","211","19.0%","12.8%","67.5%","0.0%"
"Jalen Reagor","2020","251","15.9%","9.2%","57.5%","5.0%"
"Jerry Jeudy","2020","285","23.9%","10.5%","44.1%","10.3%"
"LaViska Shenault","2020","263","23.2%","15.2%","65.6%","4.9%"
"Chase Claypool","2020","209","32.1%","16.3%","50.7%","6.0%"
"Darnell Mooney","2020","266","18.4%","13.2%","71.4%","2.0%"
"Gabriel Davis","2020","245","17.6%","9.4%","53.5%","7.0%"
"Julio Jones","2020","280","24.3%","17.5%","72.1%","4.4%"
"Diontae Johnson","2020","349","29.8%","18.3%","61.5%","10.6%"
"A.J. Brown","2020","211","31.3%","20.9%","66.7%","10.6%"
"Calvin Ridley","2020","307","28.0%","16.9%","60.5%","7.0%"
"Marquise Brown","2020","211","28.4%","16.1%","56.7%","6.7%"
"D.J. Moore","2020","275","22.5%","12.7%","56.5%","11.3%"
"DK Metcalf","2020","288","25.3%","16.3%","64.4%","11.0%"
"D.J. Chark","2020","274","23.4%","14.2%","60.9%","4.7%"
"Terry McLaurin","2020","272","26.5%","16.9%","63.9%","5.6%"
"Deebo Samuel*","2020","177","24.9%","18.6%","75.0%","6.8%"
"Michael Gallup","2020","307","16.6%","10.1%","60.8%","5.9%"
"Odell Beckham*","2020","182","26.9%","14.3%","53.1%","4.1%"
"Michael Thomas","2020","229","27.1%","19.7%","72.6%","1.6%"
"Mike Williams","2020","283","20.8%","12.0%","57.6%","3.4%"
"Robby Anderson","2020","277","28.2%","19.1%","67.9%","3.8%"
"Davante Adams","2020","254","40.6%","30.7%","75.7%","2.9%"
"Tyreek Hill","2020","302","25.5%","15.6%","61.0%","6.5%"
"Stefon Diggs","2020","271","32.8%","23.6%","71.9%","4.5%"
"DeAndre Hopkins","2020","291","30.6%","22.7%","74.2%","2.2%"
"Adam Thielen","2020","249","25.7%","16.9%","65.6%","3.1%"
"Tyler Lockett","2020","330","26.4%","19.4%","73.6%","3.4%"
"Mike Evans","2020","276","25.4%","16.7%","65.7%","10.0%"
"Keenan Allen","2020","314","35.7%","22.9%","64.3%","5.4%"
"Robert Woods","2020","277","30.7%","22.4%","72.9%","2.4%"
"Amari Cooper","2020","275","25.5%","17.5%","68.6%","2.9%"
"Cooper Kupp","2020","245","27.3%","20.8%","76.1%","1.5%"
"Jakobi Meyers","2020","193","33.2%","20.7%","62.5%","4.7%"
"A.J. Brown","2019","187","28.3%","18.2%","64.2%","7.5%"
"Adam Thielen","2019","216","23.1%","13.9%","60.0%","0.0%"
"Allen Robinson","2019","282","27.0%","17.0%","63.2%","2.6%"
"Alshon Jeffery","2019","265","27.9%","16.2%","58.1%","6.8%"
"Amari Cooper","2019","261","25.3%","17.2%","68.2%","7.6%"
"Anthony Miller","2019","296","24.3%","15.9%","65.3%","2.8%"
"Brandin Cooks","2019","256","19.1%","10.9%","57.1%","6.1%"
"Calvin Ridley","2019","347","20.2%","12.7%","62.9%","1.4%"
"Chris Godwin","2019","301","23.9%","18.3%","76.4%","1.4%"
"Cooper Kupp","2019","269","28.3%","17.8%","63.2%","5.3%"
"Courtland Sutton","2019","263","26.2%","14.1%","53.6%","4.3%"
"Curtis Samuel","2019","298","20.1%","9.1%","45.0%","6.7%"
"D.J. Chark","2019","317","23.7%","13.9%","58.7%","4.0%"
"D.J. Moore","2019","332","24.1%","15.1%","62.5%","2.5%"
"DK Metcalf","2019","273","21.6%","12.5%","57.6%","5.1%"
"Darius Slayton","2019","268","21.3%","11.9%","56.1%","1.8%"
"Davante Adams","2019","273","33.3%","21.6%","64.8%","6.6%"
"DeAndre Hopkins","2019","306","26.5%","17.0%","64.2%","2.5%"
"Deebo Samuel","2019","250","19.6%","14.0%","71.4%","8.2%"
"DeVante Parker","2019","338","21.6%","13.6%","63.0%","5.5%"
"Diontae Johnson","2019","237","24.5%","17.3%","70.7%","3.4%"
"Emmanuel Sanders","2019","227","24.2%","15.9%","65.5%","0.0%"
"Golden Tate","2019","286","24.5%","14.0%","57.1%","2.9%"
"Hunter Renfrow","2019","206","26.7%","18.0%","67.3%","1.8%"
"Jamison Crowder","2019","271","26.2%","17.0%","64.8%","0.0%"
"Jarvis Landry","2019","265","26.8%","17.4%","64.8%","0.0%"
"John Brown","2019","260","24.6%","16.9%","68.8%","0.0%"
"JuJu Smith-Schuster","2019","262","19.1%","10.3%","54.0%","0.0%"
"Julian Edelman","2019","266","29.7%","18.8%","63.3%","7.6%"
"Julio Jones","2019","326","28.8%","16.3%","56.4%","4.3%"
"Keenan Allen","2019","322","28.9%","19.6%","67.7%","2.2%"
"Kenny Golladay","2019","269","24.5%","13.4%","54.5%","3.0%"
"Marquise Brown","2019","214","22.9%","14.5%","63.3%","6.1%"
"Marvin Jones","2019","265","22.3%","16.2%","72.9%","3.4%"
"Michael Gallup","2019","300","21.7%","12.7%","58.5%","7.7%"
"Michael Thomas","2019","287","32.1%","26.1%","81.5%","0.0%"
"Mike Evans","2019","291","27.1%","15.5%","57.0%","3.8%"
"Mike Williams","2019","230","20.4%","10.9%","53.2%","8.5%"
"Odell Beckham","2019","279","26.5%","14.0%","52.7%","6.8%"
"Preston Williams","2019","246","26.8%","12.6%","47.0%","7.6%"
"Robert Woods","2019","309","24.9%","16.2%","64.9%","0.0%"
"Sammy Watkins","2019","260","20.0%","11.9%","59.6%","5.8%"
"Stefon Diggs","2019","253","25.7%","15.8%","61.5%","4.6%"
"Sterling Shepard","2019","303","23.1%","15.5%","67.1%","1.4%"
"T.Y. Hilton","2019","236","24.6%","16.5%","67.2%","3.4%"
"Terry McLaurin","2019","247","22.3%","13.0%","58.2%","1.8%"
"Tyler Boyd","2019","283","24.4%","15.2%","62.3%","7.2%"
"Tyler Lockett","2019","312","24.0%","15.7%","65.3%","0.0%"
"Tyreek Hill","2019","279","26.9%","17.2%","64.0%","1.3%"
"Will Fuller","2019","265","23.4%","16.2%","69.4%","6.5%"
"A.J. Green","2018","260","31.9%","18.5%","57.8%","6.0%"
"Adam Thielen","2018","331","23.9%","16.9%","70.9%","3.8%"
"Albert Wilson*","2018","122","34.4%","25.4%","73.8%","2.4%"
"Allen Robinson","2018","269","23.4%","12.6%","54.0%","1.6%"
"Alshon Jeffery","2018","274","22.3%","11.7%","52.5%","4.9%"
"Amari Cooper","2018","305","21.3%","16.1%","75.4%","1.5%"
"Anthony Miller","2018","218","17.0%","8.7%","51.4%","8.1%"
"Antonio Brown","2018","364","29.1%","18.1%","62.3%","0.0%"
"Brandin Cooks","2018","284","22.9%","15.8%","69.2%","1.5%"
"Calvin Ridley","2018","241","19.9%","13.7%","68.8%","12.5%"
"Chris Godwin","2018","254","22.8%","13.4%","58.6%","6.9%"
"Christian Kirk","2018","212","23.1%","15.1%","65.3%","8.2%"
"Cooper Kupp","2018","226","26.1%","18.1%","69.5%","1.7%"
"Corey Davis","2018","259","24.3%","13.1%","54.0%","6.3%"
"Courtland Sutton","2018","268","19.4%","9.7%","50.0%","9.6%"
"Curtis Samuel","2018","244","22.1%","12.3%","55.6%","5.6%"
"D.J. Moore","2018","293","19.8%","12.6%","63.8%","3.4%"
"Dante Pettis","2018","249","17.7%","9.6%","54.5%","6.8%"
"Davante Adams","2018","334","27.8%","18.0%","64.5%","4.3%"
"DeAndre Hopkins","2018","319","31.0%","21.3%","68.7%","0.0%"
"Dede Westbrook","2018","295","20.7%","12.5%","60.7%","8.2%"
"DeSean Jackson","2018","260","25.0%","13.1%","52.3%","1.5%"
"Geronimo Allison*","2018","152","19.7%","13.2%","66.7%","6.7%"
"Golden Tate","2018","274","29.6%","19.0%","64.2%","3.7%"
"Jarvis Landry","2018","278","30.9%","16.9%","54.7%","5.8%"
"John Brown","2018","276","24.3%","10.5%","43.3%","4.5%"
"JuJu Smith-Schuster","2018","361","29.1%","17.7%","61.0%","2.9%"
"Julian Edelman","2018","267","28.8%","18.7%","64.9%","7.8%"
"Julio Jones","2018","297","33.0%","19.5%","59.2%","7.1%"
"Keenan Allen","2018","274","33.9%","22.6%","66.7%","2.2%"
"Keke Coutee*","2018","166","24.1%","17.5%","72.5%","10.0%"
"Kenny Golladay","2018","287","22.6%","13.6%","60.0%","3.1%"
"Kenny Stills","2018","288","16.0%","8.7%","54.3%","4.3%"
"Larry Fitzgerald","2018","281","24.6%","14.9%","60.9%","1.4%"
"Marvin Jones","2018","281","21.0%","11.7%","55.9%","1.7%"
"Michael Thomas","2018","273","35.9%","28.2%","78.6%","4.1%"
"Mike Evans","2018","323","22.9%","11.1%","48.6%","5.4%"
"Mike Williams","2018","220","17.7%","12.3%","69.2%","5.1%"
"Mohamed Sanu","2018","273","20.5%","13.6%","66.1%","5.4%"
"Odell Beckham","2018","339","26.8%","15.9%","59.3%","0.0%"
"Robby Anderson","2018","240","27.5%","14.6%","53.0%","3.0%"
"Robert Woods","2018","246","27.6%","17.1%","61.8%","1.5%"
"Sammy Watkins","2018","255","22.7%","15.3%","67.2%","1.7%"
"Stefon Diggs","2018","345","26.1%","18.8%","72.2%","1.1%"
"Sterling Shepard","2018","281","19.2%","13.5%","70.4%","1.9%"
"T.Y. Hilton","2018","280","23.9%","14.3%","59.7%","4.5%"
"Tyler Boyd","2018","292","25.0%","18.2%","72.6%","4.1%"
"Tyler Lockett","2018","239","16.7%","12.1%","72.5%","0.0%"
"Tyreek Hill","2018","302","25.2%","15.6%","61.8%","2.6%"
"Will Fuller*","2018","225","21.8%","14.2%","65.3%","0.0%"
"A.J. Green","2017","249","34.1%","16.9%","49.4%","4.7%"
"Adam Thielen","2017","261","31.4%","19.9%","63.4%","3.7%"
"Allen Hurns","2017","252","20.6%","13.5%","65.4%","3.8%"
"Alshon Jeffery","2017","268","22.8%","11.9%","52.5%","6.6%"
"Amari Cooper","2017","284","23.6%","10.2%","43.3%","9.0%"
"Antonio Brown","2017","333","32.7%","18.0%","55.0%","2.8%"
"Brandin Cooks","2017","295","20.3%","10.5%","51.7%","3.3%"
"Chris Hogan","2017","261","19.2%","11.5%","60.0%","2.0%"
"Cooper Kupp","2017","252","23.0%","15.1%","65.5%","5.2%"
"Corey Davis","2017","252","22.2%","11.5%","51.8%","3.6%"
"Davante Adams","2017","285","26.3%","14.4%","54.7%","4.0%"
"DeAndre Hopkins","2017","316","32.9%","17.4%","52.9%","3.8%"
"Demaryius Thomas","2017","279","28.7%","16.1%","56.3%","3.8%"
"DeSean Jackson","2017","270","23.3%","12.2%","52.4%","0.0%"
"DeVante Parker","2017","286","22.4%","12.9%","57.8%","3.1%"
"Devin Funchess","2017","253","24.9%","13.8%","55.6%","6.3%"
"Dez Bryant","2017","262","26.3%","12.2%","46.4%","7.2%"
"Doug Baldwin","2017","285","21.8%","14.0%","64.5%","0.0%"
"Emmanuel Sanders","2017","292","25.7%","12.7%","49.3%","10.7%"
"Golden Tate","2017","273","22.3%","17.9%","80.3%","3.3%"
"Jamison Crowder","2017","235","24.3%","15.7%","64.9%","0.0%"
"Jarvis Landry","2017","272","30.5%","22.1%","72.3%","3.6%"
"Jordy Nelson","2017","278","22.3%","12.9%","58.1%","1.6%"
"Josh Doctson","2017","267","19.1%","8.2%","43.1%","7.8%"
"Josh Gordon*","2017","166","26.5%","11.4%","43.2%","2.3%"
