"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"A.J. Brown","2023","280","2.5","17.1","22.1","13.9","5.0","22.5","2.9","7.1","3.2","1.4","2.1"
"CeeDee Lamb","2023","297","2.0","26.3","12.5","6.4","8.4","11.8","5.7","8.4","2.4","8.4","7.7"
"Justin Jefferson","2023","330","3.6","14.8","7.3","23.0","8.5","8.2","8.5","14.2","2.7","5.8","3.3"
"Davante Adams","2023","270","2.2","21.9","8.5","20.4","8.5","17.0","5.2","8.9","3.0","1.9","2.6"
"Tyreek Hill","2023","239","8.8","18.0","10.0","10.0","12.1","15.1","5.4","8.4","0.4","6.3","5.4"
"Rashod Bateman","2023","174","1.1","16.1","20.1","21.8","5.7","16.1","2.3","5.7","3.4","1.7","5.7"
"Isaiah Hodgins*","2022","210","0.0","18.1","19.5","22.9","3.8","16.2","2.4","9.0","1.0","3.8","3.3"
"Jakobi Meyers","2022","246","4.5","19.9","8.1","16.7","13.4","10.6","1.2","6.9","1.2","11.0","6.5"
"Mike Evans","2022","350","2.0","12.6","15.1","16.6","3.7","27.7","4.6","8.0","2.6","4.0","3.1"
"JuJu Smith-Schuster","2022","226","4.0","24.8","14.2","19.5","4.9","6.6","4.0","6.6","2.7","8.0","4.9"
"D.J. Chark","2022","247","1.2","17.8","10.5","20.2","11.7","17.4","7.7","3.6","4.5","3.2","2.0"
"DeAndre Hopkins","2022","305","2.6","20.3","22.3","10.8","7.5","16.4","4.9","7.9","2.6","3.6","1.0"
"Michael Thomas*","2022","103","1.0","15.5","18.4","22.3","3.9","13.6","5.8","6.8","4.9","6.8","1.0"
"Allen Lazard","2022","217","1.4","24.4","6.9","19.4","6.9","16.6","5.1","6.5","1.4","7.4","4.1"
"Parris Campbell","2022","264","4.9","20.1","11.7","11.4","8.0","14.4","3.8","11.0","2.3","11.4","1.1"
"Chris Olave","2022","269","3.0","7.4","19.7","13.0","11.2","19.7","5.9","11.9","1.5","5.2","1.5"
"D.J. Moore","2022","234","3.8","13.7","11.5","20.1","6.8","21.8","4.3","5.6","2.1","6.8","3.4"
"Garrett Wilson","2022","292","4.1","16.8","9.6","17.8","7.5","15.8","5.1","10.6","3.4","6.2","3.1"
"Elijah Moore","2022","316","4.1","14.9","13.9","14.2","7.6","13.9","6.6","10.1","5.7","6.0","2.8"
"Brandin Cooks","2022","256","5.9","14.5","12.5","14.1","11.7","12.5","2.7","10.9","5.9","6.6","2.7"
"Christian Watson","2022","173","4.0","17.3","9.2","8.7","16.8","21.4","5.8","4.0","1.2","9.8","1.7"
"George Pickens","2022","272","1.1","10.7","19.5","7.7","5.1","32.4","9.2","5.1","5.1","1.5","2.6"
"Drake London","2022","208","4.3","24.5","10.6","16.8","8.2","9.1","3.4","13.0","1.4","5.3","3.4"
"Treylon Burks","2022","179","3.4","20.7","14.5","13.4","10.1","22.3","3.4","7.3","1.1","2.8","1.1"
"Jahan Dotson","2022","274","1.5","17.5","10.9","8.4","12.8","23.0","6.6","8.4","6.2","2.2","2.6"
"Alec Pierce","2022","212","0.9","19.3","18.4","20.3","4.2","16.5","5.7","8.0","3.8","0.5","2.4"
"Skyy Moore","2022","130","8.5","20.0","17.7","12.3","10.8","11.5","3.1","3.8","2.3","6.9","3.1"
"Wan'Dale Robinson*","2022","135","7.4","13.3","13.3","9.6","15.6","7.4","3.0","3.7","2.2","15.6","8.9"
"Romeo Doubs","2022","194","4.6","19.1","11.9","15.5","7.7","23.2","6.2","3.6","0.0","6.7","1.5"
"Brandon Aiyuk","2022","219","3.7","17.8","7.8","20.5","10.5","13.2","3.7","7.8","5.9","3.7","5.5"
"Ja'Marr Chase","2022","318","5.0","21.7","10.7","8.5","3.1","25.5","5.0","9.4","3.5","4.7","2.8"
"Michael Pittman","2022","314","2.5","27.7","16.9","12.7","7.6","8.9","1.9","6.7","4.1","6.4","4.5"
"Amon-Ra St. Brown","2022","264","6.4","24.2","12.5","14.8","4.2","3.8","2.7","10.6","2.3","14.0","4.5"
"Jerry Jeudy","2022","280","6.1","14.6","10.7","8.2","7.9","15.4","6.4","11.8","4.6","11.8","2.5"
"Jaylen Waddle","2022","264","3.8","20.8","5.7","18.2","14.0","12.1","4.5","8.7","2.7","7.6","1.9"
"DeVonta Smith","2022","275","5.1","11.3","19.3","12.4","8.7","20.4","7.3","6.5","2.2","3.6","3.3"
"Justin Jefferson","2022","332","4.8","12.7","10.2","16.9","8.1","9.3","8.4","13.0","4.5","9.3","2.7"
"CeeDee Lamb","2022","268","6.7","23.1","12.7","7.5","14.6","9.3","7.5","3.7","2.2","7.8","4.9"
"Tee Higgins","2022","322","0.6","23.3","16.1","11.2","4.3","18.9","4.7","10.2","2.2","6.2","2.2"
"Kadarius Toney","2022","76","17.1","15.8","11.8","2.6","2.6","11.8","6.6","5.3","0.0","14.5","11.8"
"Nico Collins","2022","227","2.6","22.5","18.1","18.1","7.0","14.5","4.8","5.3","4.0","1.3","1.8"
"Gabe Davis","2022","287","0.3","19.5","14.6","16.0","15.3","18.8","5.6","4.2","1.4","2.1","2.1"
"Deebo Samuel","2022","228","12.3","30.7","7.9","15.4","5.7","9.2","4.8","3.9","3.5","3.9","2.6"
"Stefon Diggs","2022","284","1.8","21.8","18.7","7.7","9.9","16.9","6.0","3.5","1.1","9.5","3.2"
"Diontae Johnson","2022","281","1.4","17.4","17.4","9.3","6.4","18.9","3.2","10.3","6.0","6.8","2.8"
"DK Metcalf","2022","265","0.8","26.8","11.3","11.3","9.8","19.6","6.0","4.9","2.6","5.3","1.5"
"Terry McLaurin","2022","273","1.5","19.8","9.2","17.6","11.7","12.8","5.1","8.4","7.3","2.9","3.7"
"A.J. Brown","2022","241","4.1","23.2","20.7","14.1","7.1","16.2","3.7","4.6","0.8","4.1","1.2"
"Davante Adams","2022","283","4.2","18.0","11.7","20.8","4.9","16.6","3.9","8.8","2.5","4.6","3.9"
"Keenan Allen","2022","299","4.7","16.7","11.4","15.7","7.0","7.7","4.0","12.0","3.3","12.7","4.7"
"Amari Cooper","2022","216","0.9","21.8","13.0","14.4","8.3","11.6","6.5","10.6","5.6","4.6","2.8"
"Tyler Lockett","2022","276","2.9","12.3","15.2","10.1","12.0","11.6","4.7","9.1","5.8","10.1","6.2"
"Cooper Kupp","2022","290","10.7","10.3","17.2","15.9","6.6","6.6","9.0","10.7","3.1","7.6","2.4"
"Tyreek Hill","2022","252","6.3","17.9","7.9","15.5","12.3","8.7","4.4","9.1","4.0","9.9","4.0"
"Marquise Brown","2022","308","4.9","14.3","18.2","6.5","11.7","19.2","5.8","7.5","2.6","6.5","2.9"
"Christian Kirk","2022","263","3.0","19.0","11.0","12.9","16.0","6.5","8.0","7.2","2.3","12.2","1.9"
"Mike Williams","2022","311","0.6","22.2","11.3","9.6","9.6","22.8","6.4","7.7","3.2","3.9","2.6"
"Chris Godwin","2022","368","7.3","27.4","11.7","14.4","10.9","3.0","1.4","9.5","1.4","9.5","3.5"
"Davante Adams","2021","255","2.7","25.1","6.3","11.0","7.8","19.2","5.9","8.6","1.6","9.0","2.7"
"Odell Beckham","2021","249","3.2","18.9","14.9","16.1","7.2","17.7","4.8","6.4","4.4","2.0","4.4"
"Allen Robinson","2021","220","0.9","28.2","19.1","11.8","7.7","11.8","3.6","6.8","2.3","5.0","2.7"
"Amari Cooper","2021","289","2.4","18.0","17.3","6.9","11.8","19.4","4.8","4.8","3.5","7.6","3.5"
"D.J. Chark*","2021","103","0.0","10.7","12.6","9.7","13.6","31.1","5.8","7.8","2.9","4.9","1.0"
