"Player","Year","Man Att","SR v Man","Zone Att","SR v Zone","Dbl Att","SR v Dlbl","Press Att","SR v Press","Routes","Press%","Man%","Zone%","Double%"
"Xavier Worthy","2024","93","60.2%","151","80.1%","9","55.6%","26","53.8%","244","10.7%","38.1%","61.9%","3.7%"
"Jordan Matthews","2014","92","59.8%","126","77.8%","1","100.0%","14","69.7%","218","6.4%","42.2%","57.8%","0.5%"
"Calvin Johnson","2015","179","59.8%","92","69.6%","32","43.8%","117","65.0%","271","43.2%","66.1%","33.9%","11.8%"
"Courtland Sutton","2018","169","59.8%","99","71.7%","3","100.0%","77","50.6%","268","28.7%","63.1%","36.9%","1.1%"
"Brandin Cooks","2019","112","59.8%","144","76.4%","7","42.9%","67","52.2%","256","26.2%","43.8%","56.3%","2.7%"
"Chris Conley","2016","163","59.5%","116","79.3%","9","33.3%","81","51.9%","279","29.0%","58.4%","41.6%","3.2%"
"Dede Westbrook","2018","126","59.5%","169","74.6%","6","50.0%","34","47.1%","295","11.5%","42.7%","57.3%","2.0%"
"Henry Ruggs","2020","93","59.1%","107","70.1%","6","50.0%","28","46.4%","200","14.0%","46.5%","53.5%","3.0%"
"D.J. Chark","2020","115","59.1%","159","74.2%","5","40.0%","80","65.0%","274","29.2%","42.0%","58.0%","1.8%"
"Cooper Kupp","2020","66","59.1%","179","82.1%","4","25.0%","13","38.5%","245","5.3%","26.9%","73.1%","1.6%"
"Marquise Brown","2023","122","59.0%","170","78.8%","11","36.4%","52","63.5%","292","17.8%","41.8%","58.2%","3.8%"
"Rondale Moore","2021","17","58.8%","137","78.8%","0","n/a","4","50.0%","154","2.6%","11.0%","89.0%","0.0%"
"Marvin Jones","2019","181","58.6%","84","77.4%","2","33.3%","109","67.9%","265","41.1%","68.3%","31.7%","0.8%"
"Marvin Jones","2018","197","58.4%","84","70.2%","21","33.3%","99","57.6%","281","35.2%","70.1%","29.9%","7.5%"
"Mohamed Sanu","2018","127","58.3%","146","72.6%","0","n/a","44","47.7%","273","16.1%","46.5%","53.5%","0.0%"
"JuJu Smith-Schuster","2019","144","58.3%","118","88.1%","16","56.3%","71","50.7%","262","27.1%","55.0%","45.0%","6.1%"
"Kadarius Toney","2022","24","58.3%","52","73.1%","0","n/a","5","60.0%","76","6.6%","31.6%","68.4%","0.0%"
"Davante Adams","2016","232","58.2%","86","87.2%","3","66.7%","105","69.5%","318","33.0%","73.0%","27.0%","0.9%"
"Marvin Jones","2017","227","58.1%","64","76.6%","21","33.3%","119","53.8%","291","40.9%","78.0%","22.0%","7.2%"
"Corey Coleman","2016","195","57.9%","87","77.0%","5","60.0%","112","45.5%","282","39.7%","69.1%","30.9%","1.8%"
"Kenny Britt","2016","178","57.9%","67","62.7%","13","38.5%","83","54.2%","245","33.9%","72.7%","27.3%","5.3%"
"Tyler Boyd","2021","121","57.9%","142","81.7%","3","100.0%","39","64.1%","263","14.8%","46.0%","54.0%","1.1%"
"Gabriel Davis","2020","102","57.8%","143","72.7%","1","0.0%","56","58.9%","245","22.9%","41.6%","58.4%","0.4%"
"Allen Lazard","2021","90","57.8%","122","71.3%","1","0.0%","30","60.0%","212","14.2%","42.5%","57.5%","0.5%"
"Marvin Jones","2015","104","57.7%","107","68.2%","3","0.0%","51","54.9%","211","24.2%","49.3%","50.7%","1.4%"
"Rishard Matthews","2016","130","57.7%","95","82.1%","2","0.0%","42","40.5%","225","18.7%","57.8%","42.2%","0.9%"
"Golden Tate","2019","137","57.7%","149","79.2%","2","100.0%","44","50.0%","286","15.4%","47.9%","52.1%","0.7%"
"Nelson Agholor","2017","134","57.5%","122","82.0%","1","0.0%","35","62.9%","256","13.7%","52.3%","47.7%","0.4%"
"Jameson Williams","2023","80","57.5%","111","72.1%","1","0.0%","30","53.3%","191","15.7%","41.9%","58.1%","0.5%"
"Demaryius Thomas","2017","195","57.4%","84","81.0%","19","52.6%","124","57.3%","279","44.4%","69.9%","30.1%","6.8%"
"Preston Williams","2019","169","57.4%","77","64.9%","11","36.4%","79","55.7%","246","32.1%","68.7%","31.3%","4.5%"
"Tyler Boyd","2019","141","57.4%","142","73.9%","3","100.0%","68","50.0%","283","24.0%","49.8%","50.2%","1.1%"
"Percy Harvin","2014","84","57.1%","111","61.3%","3","0.0%","32","59.4%","195","16.4%","43.1%","56.9%","1.5%"
"Golden Tate","2016","138","56.9%","139","79.5%","6","50.0%","60","52.0%","277","21.7%","49.8%","50.2%","2.2%"
"Jamison Crowder","2016","102","56.9%","171","81.9%","2","100.0%","34","55.9%","273","12.5%","37.4%","62.6%","0.7%"
"Quincy Enunwa","2016","127","56.7%","116","75.0%","1","0.0%","43","46.5%","243","17.7%","52.3%","47.7%","0.4%"
"Alshon Jeffery","2019","163","56.4%","102","78.4%","15","53.3%","80","60.0%","265","30.2%","61.5%","38.5%","5.7%"
"Jordan Matthews","2016","167","56.3%","140","78.6%","11","45.5%","73","57.6%","307","23.8%","54.4%","45.6%","3.6%"
"Randall Cobb","2016","191","56.0%","103","81.6%","3","33.3%","91","47.3%","294","31.0%","65.0%","35.0%","1.0%"
"Parris Campbell","2022","116","56.0%","148","70.3%","3","0.0%","28","50.0%","264","10.6%","43.9%","56.1%","1.1%"
"Deebo Samuel","2022","84","56.0%","144","84.0%","7","42.9%","32","59.4%","228","14.0%","36.8%","63.2%","3.1%"
"Kelvin Benjamin","2016","186","55.9%","70","74.3%","11","72.7%","81","53.9%","256","31.6%","72.7%","27.3%","4.3%"
"Jarvis Landry","2018","143","55.9%","135","76.3%","6","33.3%","34","47.1%","278","12.2%","51.4%","48.6%","2.2%"
"Marquez Valdes-Scantling","2021","120","55.8%","97","69.1%","1","0.0%","56","51.8%","217","25.8%","55.3%","44.7%","0.5%"
"Cooper Kupp","2018","70","55.7%","156","80.1%","0","n/a","22","36.4%","226","9.7%","31.0%","69.0%","0.0%"
"Jordy Nelson","2017","189","55.6%","89","73.0%","8","25.0%","80","58.8%","278","28.8%","68.0%","32.0%","2.9%"
"Jamison Crowder","2015","101","55.4%","139","72.7%","0","n/a","47","61.7%","240","19.6%","42.1%","57.9%","0.0%"
"Kelvin Benjamin","2017","166","55.4%","66","63.6%","4","50.0%","75","53.3%","232","32.3%","71.6%","28.4%","1.7%"
"Brandin Cooks","2015","159","55.3%","144","76.4%","10","30.0%","110","52.7%","303","36.3%","52.5%","47.5%","3.3%"
"Allen Lazard","2022","123","55.3%","94","71.3%","4","25.0%","59","49.2%","217","27.2%","56.7%","43.3%","1.8%"
"Ja'Lynn Polk","2024","89","55.1%","84","75.0%","1","0.0%","52","61.5%","173","30.1%","51.4%","48.6%","0.6%"
"JuJu Smith-Schuster","2022","106","54.7%","120","82.5%","4","25.0%","43","58.1%","226","19.0%","46.9%","53.1%","1.8%"
"Geronimo Allison","2018","110","54.5%","43","62.8%","0","n/a","47","42.6%","153","30.7%","71.9%","28.1%","0.0%"
"Joshua Palmer","2021","68","54.4%","128","68.0%","2","50.0%","30","60.0%","196","15.3%","34.7%","65.3%","1.0%"
"Golden Tate","2015","138","54.3%","139","77.0%","4","50.0%","54","51.9%","277","19.5%","49.8%","50.2%","1.4%"
"Brandin Cooks","2014","132","53.8%","128","65.6%","3","33.3%","73","49.3%","260","28.1%","50.8%","49.2%","1.2%"
"Gabe Davis","2023","132","53.8%","135","76.3%","3","0.0%","51","51.0%","267","19.1%","49.4%","50.6%","1.1%"
"Golden Tate","2018","103","53.4%","171","79.5%","3","33.3%","31","45.2%","274","11.3%","37.6%","62.4%","1.1%"
"DeVante Parker","2017","194","53.1%","92","72.8%","7","100.0%","101","51.5%","286","35.3%","67.8%","32.2%","2.4%"
"Julio Jones","2021","72","52.8%","127","78.0%","4","50.0%","41","56.1%","199","20.6%","36.2%","63.8%","2.0%"
"D.J. Moore","2018","146","52.7%","147","78.2%","2","50.0%","65","47.7%","293","22.2%","49.8%","50.2%","0.7%"
"Dwayne Bowe","2014","114","52.6%","106","83.0%","8","50.0%","63","61.9%","220","28.6%","51.8%","48.2%","3.6%"
"Dez Bryant","2017","188","52.1%","74","75.7%","33","51.5%","103","48.5%","262","39.3%","71.8%","28.2%","12.6%"
"Kadarius Toney","2021","73","52.1%","110","80.0%","1","0.0%","28","50.0%","183","15.3%","39.9%","60.1%","0.5%"
"Quentin Johnston","2024","100","52.0%","132","75.0%","2","0.0%","66","53.0%","232","28.4%","43.1%","56.9%","0.9%"
"DeVante Parker","2016","158","51.9%","66","75.8%","3","66.7%","70","48.6%","224","31.3%","70.5%","29.5%","1.3%"
"Romeo Doubs","2022","81","51.9%","113","75.2%","4","75.0%","49","49.0%","194","25.3%","41.8%","58.2%","2.1%"
"D.J. Chark","2022","122","51.6%","125","57.6%","1","100.0%","42","47.6%","247","17.0%","49.4%","50.6%","0.4%"
"Brandin Cooks","2016","148","51.4%","141","74.5%","8","37.5%","41","42.7%","289","14.2%","51.2%","48.8%","2.8%"
"JuJu Smith-Schuster*","2021","51","51.0%","86","82.6%","1","0.0%","18","50.0%","137","13.1%","37.2%","62.8%","0.7%"
"Anquan Boldin","2015","108","50.9%","137","76.6%","7","42.9%","34","55.9%","245","13.9%","44.1%","55.9%","2.9%"
"Cooper Kupp","2017","120","50.8%","132","81.1%","1","0.0%","52","50.0%","252","20.6%","47.6%","52.4%","0.4%"
"JuJu Smith-Schuster","2020","122","50.8%","197","81.2%","1","0.0%","50","46.0%","319","15.7%","38.2%","61.8%","0.3%"
"Deebo Samuel*","2020","59","50.8%","118","82.2%","3","66.7%","34","50.0%","177","19.2%","33.3%","66.7%","1.7%"
"Brandin Cooks","2017","215","50.7%","85","76.5%","15","33.3%","98","40.8%","300","32.7%","71.7%","28.3%","5.0%"
"Cooper Kupp","2019","89","50.6%","180","85.6%","6","16.7%","26","34.6%","269","9.7%","33.1%","66.9%","2.2%"
"Cooper Kupp","2024","93","50.5%","143","76.2%","4","25.0%","29","41.4%","236","12.3%","39.4%","60.6%","1.7%"
"JuJu Smith-Schuster","2018","199","50.3%","162","84.0%","3","0.0%","102","38.2%","361","28.3%","55.1%","44.9%","0.8%"
"D.J. Chark*","2021","32","50.0%","71","60.6%","3","66.7%","25","52.0%","103","24.3%","31.1%","68.9%","2.9%"
"Marquise Brown*","2024","42","50.0%","72","79.2%","1","100.0%","17","47.1%","114","14.9%","36.8%","63.2%","0.9%"
"Keon Coleman","2024","120","50.0%","83","74.7%","2","0.0%","73","47.9%","203","36.0%","59.1%","40.9%","1.0%"
"Sammy Watkins","2014","206","49.5%","85","60.0%","14","14.3%","81","64.2%","291","27.8%","70.8%","29.2%","4.8%"
"T.Y. Hilton","2020","118","49.2%","147","74.8%","6","33.3%","94","48.9%","265","35.5%","44.5%","55.5%","2.3%"
"Marqise Lee","2017","171","49.1%","97","67.0%","3","33.3%","73","46.6%","268","27.2%","63.8%","36.2%","1.1%"
"Devin Funchess","2015","101","47.5%","52","55.8%","4","25.0%","47","34.0%","153","30.7%","66.0%","34.0%","2.6%"
"Davante Adams","2014","183","47.0%","96","55.2%","8","0.0%","90","51.1%","279","32.3%","65.6%","34.4%","2.9%"
"Marqise Lee","2014","136","44.1%","132","60.6%","4","0.0%","68","55.9%","268","25.4%","50.7%","49.3%","1.5%"
"Quentin Johnston","2023","143","44.1%","113","61.9%","1","100.0%","62","32.3%","256","24.2%","55.9%","44.1%","0.4%"
"Marvin Mims","2024","25","44.0%","98","74.5%","1","0.0%","7","42.9%","123","5.7%","20.3%","79.7%","0.8%"
"DeVante Parker","2015","161","42.9%","101","62.4%","3","33.3%","83","39.8%","262","31.7%","61.5%","38.5%","1.1%"
"Jalen Reagor","2020","103","40.8%","148","71.6%","4","50.0%","52","36.5%","251","20.7%","41.0%","59.0%","1.6%"
"Deebo Samuel","2024","78","39.7%","169","76.3%","3","0.0%","23","39.1%","247","9.3%","31.6%","68.4%","1.2%"
"Terrace Marshall","2021","81","39.5%","133","65.4%","0","n/a","23","30.4%","214","10.7%","37.9%","62.1%","0.0%"
"Justin Hunter","2014","119","31.9%","136","44.1%","3","0.0%","72","44.4%","255","28.2%","46.7%","53.3%","1.2%"
