"Player","Year","Man Att","SR v Man","Zone Att","SR v Zone","Dbl Att","SR v Dlbl","Press Att","SR v Press","Routes","Press%","Man%","Zone%","Double%"
"Willie Snead","2016","125","72.8%","109","87.2%","6","66.7%","68","73.5%","234","29.1%","53.4%","46.6%","2.6%"
"Michael Crabtree","2017","158","72.8%","67","88.1%","5","60.0%","87","64.4%","225","38.7%","70.2%","29.8%","2.2%"
"Tank Dell","2023","92","72.8%","174","77.6%","8","37.5%","22","68.2%","266","8.3%","34.6%","65.4%","3.0%"
"George Pickens","2024","125","72.8%","119","73.9%","13","61.5%","58","77.6%","244","23.8%","51.2%","48.8%","5.3%"
"John Brown","2014","77","72.7%","145","75.2%","3","66.7%","52","75.0%","222","23.4%","34.7%","65.3%","1.4%"
"Stefon Diggs","2016","139","72.7%","134","82.1%","6","50.0%","54","75.9%","273","19.8%","50.9%","49.1%","2.2%"
"A.J. Green","2018","176","72.7%","84","72.6%","27","74.1%","99","71.7%","260","38.1%","67.7%","32.3%","10.4%"
"Rashod Bateman","2021","161","72.7%","124","83.1%","6","83.3%","34","76.5%","285","11.9%","56.5%","43.5%","2.1%"
"Mike Evans","2021","150","72.7%","147","76.9%","25","64.0%","91","79.1%","297","30.6%","50.5%","49.5%","8.4%"
"Elijah Moore","2022","132","72.7%","184","77.2%","12","66.7%","66","75.8%","316","20.9%","41.8%","58.2%","3.8%"
"Anthony Miller","2018","106","72.6%","112","81.3%","0","n/a","31","64.5%","218","14.2%","48.6%","51.4%","0.0%"
"Jakobi Meyers","2020","84","72.6%","109","78.0%","5","60.0%","24","70.8%","193","12.4%","43.5%","56.5%","2.6%"
"DK Metcalf","2021","106","72.6%","118","74.6%","21","57.1%","51","80.4%","224","22.8%","47.3%","52.7%","9.4%"
"CeeDee Lamb","2020","109","72.5%","172","78.5%","4","0.0%","20","80.0%","281","7.1%","38.8%","61.2%","1.4%"
"Tyreek Hill","2016","87","72.4%","93","86.0%","2","0.0%","30","80.0%","180","16.7%","48.3%","51.7%","1.1%"
"Tee Higgins","2024","163","72.4%","143","74.8%","10","80.0%","84","78.6%","306","27.5%","53.3%","46.7%","3.3%"
"Amon-Ra St. Brown","2024","76","72.4%","196","83.2%","13","69.2%","28","78.6%","272","10.3%","27.9%","72.1%","4.8%"
"Odell Beckham","2021","130","72.3%","119","81.5%","18","50.0%","55","76.4%","249","22.1%","52.2%","47.8%","7.2%"
"Drake London","2022","83","72.3%","125","81.6%","19","73.7%","40","72.5%","208","19.2%","39.9%","60.1%","9.1%"
"Tyler Lockett","2017","158","72.2%","115","79.1%","2","0.0%","32","59.4%","273","11.7%","57.9%","42.1%","0.7%"
"DeAndre Hopkins","2022","133","72.2%","172","78.5%","36","69.4%","48","72.9%","305","15.7%","43.6%","56.4%","11.8%"
"Tee Higgins","2022","144","72.2%","178","78.1%","15","53.3%","87","72.4%","322","27.0%","44.7%","55.3%","4.7%"
"Jayden Reed","2023","54","72.2%","131","81.7%","3","100.0%","13","76.9%","185","7.0%","29.2%","70.8%","1.6%"
"Dontayvion Wicks","2023","72","72.2%","103","78.6%","2","50.0%","22","72.7%","175","12.6%","41.1%","58.9%","1.1%"
"Rome Odunze","2024","115","72.2%","194","78.9%","8","37.5%","57","78.9%","309","18.4%","37.2%","62.8%","2.6%"
"Michael Thomas","2017","136","72.1%","98","77.6%","16","68.8%","66","71.2%","234","28.2%","58.1%","41.9%","6.8%"
"Mike Evans","2018","233","72.1%","90","74.4%","14","78.6%","133","68.4%","323","41.2%","72.1%","27.9%","4.3%"
"Chris Godwin","2021","136","72.1%","180","78.3%","5","40.0%","54","75.9%","316","17.1%","43.0%","57.0%","1.6%"
"Jaylen Waddle","2023","86","72.1%","140","82.9%","5","60.0%","50","72.0%","226","22.1%","38.1%","61.9%","2.2%"
"Marquise Goodwin","2017","182","72.0%","106","72.6%","4","100.0%","77","68.8%","288","26.7%","63.2%","36.8%","1.4%"
