"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"Cooper Kupp","2017","252","100.0%","59.7%","66.7%","68.4%","66.7%","40.9%","45.0%","85.7%","50.0%","71.0%","70.8%"
"Nelson Agholor","2017","256","100.0%","67.6%","65.4%","66.7%","63.6%","55.2%","42.0%","85.7%","N/A","92.6%","69.2%"
"Will Fuller","2017","285","100.0%","66.7%","74.1%","48.9%","80.0%","58.2%","69.0%","76.2%","50.0%","75.0%","85.7%"
"Kenny Stills","2017","288","100.0%","74.0%","62.0%","73.0%","78.3%","59.2%","77.0%","65.2%","80.0%","82.4%","55.6%"
"Sterling Shepard","2017","343","100.0%","79.8%","82.2%","67.9%","70.4%","56.4%","57.0%","60.0%","66.7%","89.6%","73.3%"
"Kenny Golladay","2017","250","100.0%","75.9%","77.1%","69.0%","57.1%","57.1%","62.0%","75.0%","60.0%","80.0%","22.2%"
"Robby Anderson","2017","271","100.0%","71.7%","75.0%","80.0%","75.0%","62.5%","67.0%","55.0%","66.7%","81.8%","68.8%"
"Paul Richardson","2017","274","100.0%","72.4%","93.1%","72.7%","64.5%","64.8%","54.0%","66.7%","81.8%","70.0%","40.0%"
"Allen Hurns","2017","252","50.0%","56.7%","92.3%","65.5%","73.9%","65.5%","60.0%","62.5%","60.0%","73.5%","38.9%"
"Tyler Lockett","2017","273","100.0%","75.0%","80.0%","70.6%","68.0%","56.8%","56.0%","88.9%","77.8%","90.9%","88.5%"
"Randall Cobb","2017","229","100.0%","75.0%","73.3%","83.3%","84.6%","52.0%","13.0%","81.0%","100.0%","85.0%","76.0%"
"Marqise Lee","2017","268","75.0%","67.5%","73.2%","54.5%","31.3%","41.7%","29.0%","50.0%","66.7%","66.7%","41.2%"
"Pierre Garcon","2017","271","100.0%","78.2%","64.0%","75.0%","50.0%","62.5%","71.0%","80.0%","70.0%","90.0%","68.8%"
"Jamison Crowder","2017","235","100.0%","62.7%","73.9%","67.9%","68.8%","47.1%","38.0%","89.5%","66.7%","75.0%","66.7%"
"Emmanuel Sanders","2017","292","100.0%","74.6%","74.5%","81.8%","61.5%","60.5%","50.0%","79.2%","77.8%","65.2%","87.5%"
"T.Y. Hilton","2017","282","100.0%","67.2%","65.0%","60.9%","69.6%","65.7%","64.0%","56.7%","93.8%","78.9%","60.0%"
"Kelvin Benjamin","2017","232","100.0%","71.4%","75.0%","53.3%","52.9%","23.3%","36.0%","76.0%","57.1%","50.0%","50.0%"
"DeSean Jackson","2017","270","100.0%","60.5%","77.1%","62.9%","38.5%","65.6%","55.0%","71.4%","78.6%","90.9%","50.0%"
"Jarvis Landry","2017","272","100.0%","78.6%","81.8%","72.3%","35.7%","16.7%","0.0%","79.3%","66.7%","75.9%","65.2%"
"Rishard Matthews","2017","241","100.0%","72.0%","88.4%","70.0%","58.3%","58.1%","73.0%","100.0%","85.7%","80.0%","44.4%"
"Larry Fitzgerald","2017","330","100.0%","75.2%","73.3%","78.0%","65.2%","69.2%","71.0%","71.1%","25.0%","78.1%","73.3%"
"A.J. Green","2017","249","66.7%","74.6%","80.6%","60.0%","73.1%","60.9%","59.0%","60.0%","72.7%","90.9%","75.0%"
"Julio Jones","2017","222","100.0%","74.0%","75.9%","62.5%","80.0%","58.6%","56.0%","84.2%","71.4%","72.7%","66.7%"
"Josh Doctson","2017","267","100.0%","75.0%","65.6%","81.3%","73.9%","63.0%","50.0%","66.7%","72.0%","66.7%","50.0%"
"Marquise Goodwin","2017","288","N/A","72.4%","78.8%","71.1%","76.9%","69.8%","50.0%","83.3%","87.0%","57.1%","52.9%"
"Keelan Cole","2017","257","100.0%","78.4%","78.6%","81.1%","70.0%","68.8%","38.0%","76.5%","0.0%","73.3%","69.2%"
"Chris Hogan","2017","261","100.0%","81.3%","89.3%","64.3%","80.6%","63.6%","60.0%","68.8%","33.3%","83.3%","66.7%"
"Antonio Brown","2016","308","92.9%","87.7%","81.3%","88.9%","93.2%","73.3%","80.0%","100.0%","87.5%","90.5%","82.6%"
"Dez Bryant","2016","252","100.0%","94.9%","84.4%","80.0%","73.7%","59.5%","80.0%","83.3%","57.9%","92.9%","82.4%"
"Demaryius Thomas","2016","250","94.4%","85.7%","55.6%","42.9%","76.0%","56.6%","66.7%","57.1%","62.5%","69.2%","60.9%"
"Mike Wallace","2016","238","90.9%","63.0%","71.7%","80.0%","61.4%","56.9%","71.4%","57.1%","83.3%","71.4%","42.9%"
"Michael Crabtree","2016","229","100.0%","82.9%","91.9%","75.0%","69.0%","34.4%","71.4%","80.0%","82.1%","89.5%","67.3%"
"A.J. Green","2016","236","100.0%","85.2%","88.2%","75.0%","88.0%","56.6%","75.0%","70.0%","84.2%","60.0%","40.0%"
"DeSean Jackson","2016","237","100.0%","77.4%","75.0%","37.5%","88.2%","74.6%","70.0%","86.7%","100.0%","77.8%","23.1%"
"Doug Baldwin","2016","234","100.0%","80.0%","75.9%","72.7%","69.4%","58.8%","57.0%","71.4%","60.0%","66.7%","90.9%"
"Golden Tate","2016","286","100.0%","78.4%","60.4%","84.2%","68.8%","41.3%","17.0%","50.0%","64.7%","85.3%","55.6%"
"Alshon Jeffery","2016","268","100.0%","73.3%","77.1%","83.3%","68.4%","67.9%","71.4%","70.8%","72.7%","0.0%","42.9%"
"Brandin Cooks","2016","289","100.0%","61.4%","63.9%","57.1%","73.1%","54.8%","45.0%","60.0%","50.0%","90.3%","50.0%"
"Brandon Marshall","2016","282","100.0%","79.4%","76.3%","74.1%","70.0%","55.4%","77.8%","64.7%","62.5%","77.8%","66.7%"
"Michael Thomas","2016","274","100.0%","91.2%","85.2%","80.0%","93.8%","58.3%","63.6%","77.8%","100.0%","100.0%","41.7%"
"Terrelle Pryor","2016","278","100.0%","86.2%","73.0%","73.3%","75.0%","46.1%","50.0%","69.2%","75.0%","87.5%","71.4%"
"Odell Beckham","2016","298","100.0%","85.5%","74.1%","72.7%","78.3%","77.2%","70.0%","63.6%","100.0%","100.0%","58.3%"
"DeAndre Hopkins","2016","308","100.0%","78.3%","72.5%","81.6%","57.1%","54.4%","66.7%","80.0%","100.0%","100.0%","47.1%"
"Tyreek Hill","2016","180","100.0%","89.7%","88.9%","85.0%","77.3%","65.1%","33.3%","83.3%","n/a","72.7%","57.1%"
"Stefon Diggs","2016","272","100.0%","80.3%","76.0%","65.0%","73.3%","66.7%","87.5%","72.4%","87.5%","82.4%","78.6%"
"Jarvis Landry","2016","252","90.9%","81.4%","69.2%","72.3%","45.5%","20.0%","100.0%","79.3%","50.0%","68.2%","65.2%"
"Larry Fitzgerald","2016","320","94.4%","75.9%","73.3%","80.0%","71.4%","69.2%","75.0%","66.7%","100.0%","71.4%","73.3%"
"Tyrell Williams","2016","311","100.0%","86.4%","73.3%","75.0%","75.0%","53.8%","83.3%","91.7%","100.0%","88.9%","84.6%"
"Cameron Meredith","2016","290","100.0%","70.2%","76.7%","85.2%","80.0%","50.0%","60.0%","71.1%","83.3%","91.7%","68.8%"
"T.Y. Hilton","2016","335","100.0%","69.7%","77.4%","76.9%","70.0%","60.0%","50.0%","69.2%","83.3%","87.9%","65.7%"
"Allen Robinson","2016","329","100.0%","83.3%","78.7%","79.3%","63.4%","61.0%","52.6%","79.3%","50.0%","73.3%","53.3%"
"Julio Jones","2016","249","100.0%","82.2%","88.9%","78.4%","74.1%","65.5%","66.7%","82.4%","80.0%","71.4%","88.9%"
"Amari Cooper","2016","307","100.0%","76.6%","80.6%","80.0%","80.6%","62.1%","88.2%","73.3%","100.0%","83.3%","73.7%"
"Mike Evans","2016","289","100.0%","75.0%","80.8%","82.5%","76.5%","66.7%","61.1%","81.3%","80.0%","100.0%","70.6%"
"Jordy Nelson","2016","315","100.0%","71.4%","64.9%","75.6%","54.5%","49.1%","80.0%","72.0%","n/a","52.6%","76.3%"
"Davante Adams","2016","303","100.0%","82.5%","77.6%","64.0%","84.6%","51.9%","46.2%","85.7%","0.0%","70.0%","58.6%"
"Jamison Crowder","2016","271","100.0%","81.0%","63.6%","55.0%","71.0%","52.6%","53.8%","76.9%","100.0%","80.4%","65.2%"
"Kelvin Benjamin","2016","256","100.0%","71.2%","75.0%","56.0%","59.0%","31.0%","25.0%","80.8%","0.0%","75.0%","50.0%"
"Rishard Matthews","2016","226","100.0%","78.9%","82.9%","56.3%","57.1%","37.0%","52.9%","63.6%","71.4%","61.1%","75.0%"
"Emmanuel Sanders","2016","302","100.0%","82.8%","80.6%","81.5%","70.4%","70.8%","40.0%","76.2%","75.0%","77.3%","63.2%"
"Julian Edelman","2016","272","100.0%","80.8%","66.7%","84.6%","86.4%","28.0%","80.0%","76.5%","100.0%","76.2%","100.0%"
"Adam Thielen","2016","292","100.0%","70.6%","77.5%","67.9%","66.7%","63.9%","73.5%","57.1%","100.0%","53.3%","57.1%"
"Willie Snead","2016","235","100.0%","81.1%","82.8%","91.3%","80.0%","56.7%","80.0%","76.2%","100.0%","88.5%","80.0%"
"Quincy Enunwa","2016","243","80.0%","61.7%","80.0%","75.0%","80.0%","39.4%","44.4%","55.0%","n/a","88.2%","100.0%"
"Randall Cobb","2016","297","100.0%","62.7%","75.0%","68.0%","48.7%","42.3%","58.8%","70.6%","100.0%","69.8%","79.2%"
"Pierre Garcon","2016","246","100.0%","84.9%","81.5%","87.9%","78.6%","57.1%","61.9%","81.0%","63.6%","85.7%","62.5%"
"Kenny Britt","2016","245","100.0%","79.7%","63.9%","59.4%","33.3%","40.4%","54.5%","75.0%","62.5%","66.7%","12.5%"
"Jordan Matthews","2016","308","93.8%","78.9%","73.1%","67.9%","63.0%","39.5%","40.7%","68.2%","66.7%","80.0%","53.3%"
"John Brown","2016","251","100.0%","65.5%","81.5%","71.9%","72.7%","64.0%","54.5%","79.5%","100.0%","72.7%","80.0%"
"DeVante Parker","2016","223","100.0%","62.2%","70.6%","66.0%","50.0%","47.2%","40.0%","52.4%","75.0%","66.7%","66.7%"
"Corey Coleman","2016","280","100.0%","81.4%","84.8%","79.3%","64.7%","44.0%","63.6%","53.3%","57.9%","33.0%","75.0%"
"Jeremy Maclin","2016","275","100.0%","68.0%","80.4%","45.7%","63.0%","63.6%","50.0%","85.7%","50.0%","81.0%","60.0%"
"Martavis Bryant","2016","285","100.0%","76.1%","87.1%","57.9%","80.6%","63.0%","72.2%","77.8%","66.7%","62.5%","72.2%"
"Donte Moncrief","2016","282","n/a","83.0%","74.4%","76.9%","73.3%","62.1%","58.8%","86.4%","85.7%","71.4%","81.3%"
"Sterling Shepard","2016","325","100.0%","79.7%","67.7%","71.4%","66.7%","60.5%","66.7%","86.7%","100.0%","96.5%","66.7%"
"Chris Conley","2016","279","100.0%","69.2%","76.9%","80.0%","53.6%","50.0%","66.7%","81.8%","0.0%","63.6%","57.1%"
"Tyler Lockett","2016","250","100.0%","78.4%","78.1%","83.3%","55.0%","52.5%","55.6%","90.9%","88.9%","88.2%","76.0%"
"A.J. Green","2015","236","100.0%","85.2%","88.2%","70.0%","88.0%","58.2%","75.0%","66.7%","84.2%","60.0%","40.0%"
"Albert Wilson","2015","199","100.0%","87.0%","65.6%","64.3%","69.6%","38.2%","50.0%","92.9%","66.7%","66.7%","66.7%"
"Allen Robinson","2015","278","100.0%","82.5%","81.1%","78.6%","79.5%","59.2%","81.8%","76.9%","60.0%","75.0%","90.0%"
"Amari Cooper","2015","258","100.0%","82.9%","80.0%","83.3%","71.1%","62.3%","45.5%","80.0%","100.0%","75.0%","45.5%"
"Anquan Boldin","2015","247","90.9%","71.7%","81.1%","20.0%","66.7%","39.5%","72.7%","50.0%","n/a","77.8%","50.0%"
"Brandin Cooks","2015","304","83.3%","76.2%","60.8%","81.8%","55.9%","63.2%","71.4%","57.1%","50.0%","73.9%","42.1%"
"Bruce Ellington","2015","77","100.0%","70.0%","81.3%","75.0%","78.6%","62.5%","33.3%","100.0%","100.0%","100.0%","100.0%"
"Calvin Johnson","2015","269","100.0%","80.3%","64.1%","84.6%","63.3%","46.3%","60.0%","44.4%","63.6%","75.0%","57.9%"
"DeSean Jackson","2015","237","100.0%","77.4%","75.0%","37.5%","88.2%","74.6%","69.6%","86.7%","100.0%","77.8%","23.1%"
"DeVante Parker","2015","262","100.0%","58.9%","65.2%","60.0%","51.5%","35.1%","20.0%","58.3%","43.8%","70.0%","33.0%"
"Devin Funchess","2015","154","66.7%","60.0%","50.0%","50.0%","66.7%","29.4%","66.7%","33.3%","28.6%","80.0%","25.0%"
"Donte Moncrief","2015","252","80.0%","81.3%","80.6%","81.3%","62.9%","43.5%","60.0%","87.5%","76.2%","100.0%","60.0%"
"Dorial Green-Beckham","2015","258","n/a","77.1%","58.1%","78.6%","66.0%","57.8%","72.7%","56.3%","0.0%","66.7%","60.0%"
"Doug Baldwin","2015","234","100.0%","80.0%","75.9%","72.7%","69.4%","58.8%","57.1%","71.4%","60.0%","66.7%","90.9%"
"Golden Tate","2015","286","100.0%","70.4%","57.4%","84.2%","61.1%","41.3%","16.7%","50.0%","64.7%","78.3%","55.6%"
"Jamison Crowder","2015","240","100.0%","64.6%","52.9%","75.0%","57.6%","47.8%","52.6%","50.0%","100.0%","80.0%","84.6%"
"John Brown","2015","285","100.0%","82.6%","84.8%","87.0%","85.9%","58.9%","66.7%","79.2%","87.5%","61.5%","60.0%"
"Kamar Aiken","2015","275","100.0%","83.6%","82.2%","66.7%","76.9%","50.7%","57.1%","86.7%","90.0%","75.0%","77.8%"
"Keenan Allen","2015","298","94.1%","86.2%","88.4%","82.8%","80.0%","37.5%","77.8%","100.0%","100.0%","80.0%","61.9%"
"Marvin Jones","2015","211","100.0%","71.4%","78.8%","44.4%","81.8%","45.8%","50.0%","83.3%","60.0%","88.9%","38.5%"
"Mike Evans","2015","280","n/a","73.1%","75.8%","100.0%","75.6%","61.2%","45.0%","86.7%","88.0%","50.0%","53.3%"
"Nelson Agholor","2015","256","100.0%","82.3%","80.0%","76.2%","80.0%","39.6%","37.5%","70.0%","n/a","100.0%","71.4%"
"Sammy Watkins","2015","238","100.0%","80.8%","70.6%","75.0%","76.2%","58.9%","50.0%","72.7%","78.6%","92.9%","53.3%"
"Stefon Diggs","2015","237","100.0%","75.0%","78.7%","88.9%","70.6%","48.3%","53.8%","86.7%","60.0%","75.0%","75.0%"
"Torrey Smith","2015","216","100.0%","82.5%","67.6%","71.4%","60.0%","61.7%","60.0%","75.0%","87.5%","66.7%","80.0%"
"Travis Benjamin","2015","257","100.0%","80.4%","57.1%","40.0%","75.8%","65.1%","18.2%","71.4%","80.0%","58.3%","60.0%"
"Tyler Lockett","2015","205","90.9%","75.8%","87.8%","75.0%","68.2%","55.3%","88.9%","80.0%","88.9%","90.0%","90.0%"
"Willie Snead","2015","262","100.0%","81.6%","88.1%","71.4%","73.9%","48.0%","66.7%","75.0%","60.0%","85.0%","66.7%"
"Eric Decker","2015","268","100.0%","75.5%","75.8%","84.8%","79.3%","53.6%","50.0%","79.2%","66.7%","91.3%","76.2%"
"Antonio Brown","2014","308","100.0%","87.7%","81.3%","88.9%","93.2%","73.3%","80.0%","100.0%","87.5%","90.5%","82.6%"
"Odell Beckham","2014","297","100.0%","83.0%","85.7%","66.7%","78.8%","74.3%","40.0%","100.0%","88.9%","100.0%","82.1%"
"Sammy Watkins","2014","297","87.5%","64.8%","55.0%","62.5%","60.0%","38.7%","40.0%","55.6%","51.2%","90.0%","41.7%"
"Mike Evans","2014","289","100.0%","73.9%","74.5%","84.0%","62.2%","57.6%","44.4%","55.6%","64.3%","50.0%","66.7%"
"Davante Adams","2014","279","100.0%","60.3%","52.4%","70.8%","46.2%","28.4%","28.6%","75.0%","0.0%","71.4%","60.9%"
"Andre Johnson","2014","278","91.7%","74.5%","88.5%","64.3%","68.0%","37.8%","87.5%","75.0%","84.6%","70.8%","70.0%"
"Brandin Cooks","2014","260","100.0%","59.3%","62.8%","41.7%","70.0%","53.8%","30.0%","72.7%","69.2%","76.9%","40.0%"
"Kelvin Benjamin","2014","260","100.0%","75.9%","80.8%","60.0%","55.8%","53.4%","71.4%","93.3%","75.0%","87.5%","70.0%"
"Justin Hunter","2014","255","100.0%","42.1%","40.0%","52.4%","46.8%","21.5%","34.8%","47.4%","50.0%","50.0%","50.0%"
"Dez Bryant","2014","252","100.0%","94.9%","84.4%","80.0%","73.7%","67.2%","85.7%","83.3%","57.9%","100.0%","82.4%"
"Demaryius Thomas","2014","250","94.4%","85.7%","55.6%","42.9%","76.0%","56.6%","66.7%","57.1%","62.5%","69.2%","60.9%"
"Randall Cobb","2014","245","100.0%","81.3%","75.0%","72.7%","80.5%","61.3%","81.8%","55.6%","71.4%","81.0%","76.2%"
"Mike Wallace","2014","238","87.5%","60.0%","71.7%","80.0%","61.4%","56.9%","71.4%","57.1%","83.3%","71.4%","42.9%"
"Kenny Stills","2014","234","100.0%","50.0%","68.2%","66.7%","71.4%","58.3%","60.0%","71.4%","56.3%","82.4%","52.9%"
"Allen Robinson","2014","233","80.0%","80.0%","86.2%","89.5%","80.0%","45.3%","60.0%","88.2%","69.2%","87.5%","68.8%"
"Michael Crabtree","2014","229","100.0%","82.9%","93.9%","75.0%","68.6%","34.4%","71.4%","80.0%","82.1%","89.5%","71.4%"
"Dwayne Bowe","2014","223","100.0%","71.7%","75.0%","37.5%","63.9%","42.1%","75.0%","66.7%","76.9%","89.5%","55.6%"
"Charles Johnson","2014","223","100.0%","85.7%","65.8%","70.8%","56.3%","70.0%","50.0%","63.6%","61.5%","50.0%","100.0%"
"Jarvis Landry","2014","223","87.5%","77.6%","84.6%","68.8%","57.1%","31.6%","33.3%","55.6%","100.0%","72.4%","81.3%"
"John Brown","2014","222","100.0%","83.3%","62.5%","72.7%","68.4%","75.0%","66.7%","73.7%","66.7%","87.5%","62.5%"
"Jordan Matthews","2014","218","83.3%","82.2%","75.0%","75.0%","64.5%","51.9%","53.8%","50.0%","50.0%","71.7%","60.0%"
"Percy Harvin","2014","199","93.3%","62.5%","87.0%","50.0%","50.0%","42.9%","20.0%","66.7%","61.5%","77.8%","62.5%"
"Stevie Johnson","2014","170","100.0%","75.0%","87.1%","83.3%","63.2%","54.2%","40.0%","90.0%","81.8%","76.5%","100.0%"
"Donte Moncrief","2014","160","100.0%","80.0%","85.7%","80.0%","83.3%","63.2%","50.0%","75.0%","61.5%","100.0%","60.0%"
"Martavis Bryant","2014","152","100.0%","66.7%","73.3%","80.0%","73.1%","63.0%","66.7%","100.0%","80.0%","100.0%","54.5%"
"Marqise Lee","2014","267","87.5%","53.2%","60.0%","70.0%","40.0%","34.3%","58.3%","81.8%","57.1%","57.9%","50.0%"
"Paul Richardson","2014","177","100.0%","70.7%","83.3%","50.0%","73.1%","50.0%","57.1%","100.0%","87.5%","87.5%","87.5%"
