"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"Diontae Johnson","2023","246","100.0%","83.8%","88.5%","76.2%","75.0%","57.9%","83.3%","77.8%","87.5%","83.3%","88.9%"
"Stefon Diggs","2023","233","100.0%","83.9%","89.7%","68.4%","68.4%","44.4%","42.9%","75.0%","100.0%","93.8%","80.0%"
"Jaxon Smith-Njigba","2023","226","100.0%","73.3%","83.3%","76.9%","76.2%","44.4%","46.7%","82.6%","100.0%","89.3%","80.0%"
"Zay Flowers","2023","286","100.0%","72.2%","76.6%","86.8%","87.5%","61.3%","68.8%","80.0%","100.0%","72.2%","83.3%"
"Puka Nacua","2023","287","100.0%","81.8%","77.8%","75.4%","86.7%","53.8%","37.5%","80.8%","71.4%","75.0%","78.6%"
"Jayden Reed","2023","185","100.0%","85.7%","64.3%","83.3%","80.0%","50.0%","81.8%","50.0%","100.0%","81.3%","90.0%"
"Jordan Addison","2023","284","100.0%","80.0%","58.3%","70.9%","80.6%","56.1%","66.7%","55.3%","72.7%","94.1%","91.7%"
"Tank Dell","2023","266","100.0%","71.1%","87.0%","84.4%","68.3%","53.3%","81.3%","80.6%","80.0%","81.8%","63.6%"
"Quentin Johnston","2023","256","100.0%","70.8%","46.4%","56.0%","57.1%","44.9%","45.5%","44.4%","35.7%","50.0%","40.0%"
"Josh Downs","2023","240","100.0%","82.6%","79.5%","75.0%","69.0%","46.2%","76.9%","73.3%","90.9%","92.0%","92.9%"
"Dontayvion Wicks","2023","175","100.0%","86.2%","83.3%","70.6%","73.3%","41.2%","83.3%","90.0%","100.0%","69.2%","60.0%"
"Nico Collins","2023","242","100.0%","84.3%","89.7%","79.2%","68.0%","68.4%","70.0%","72.4%","62.5%","85.7%","85.7%"
"Jahan Dotson","2023","293","100.0%","78.8%","73.8%","82.2%","74.3%","56.3%","62.5%","70.4%","84.6%","80.0%","90.0%"
"Jameson Williams","2023","191","100.0%","61.1%","73.9%","77.8%","74.3%","45.2%","61.9%","55.6%","60.0%","71.4%","100.0%"
"George Pickens","2023","239","100.0%","78.0%","75.0%","69.2%","61.9%","58.2%","75.0%","76.5%","100.0%","80.0%","50.0%"
"Chris Olave","2023","269","100.0%","80.6%","82.4%","79.3%","77.3%","67.6%","46.2%","89.3%","100.0%","90.9%","58.3%"
"Garrett Wilson","2023","312","100.0%","90.0%","90.5%","82.6%","72.7%","62.1%","72.0%","78.1%","100.0%","68.8%","100.0%"
"Christian Watson","2023","231","100.0%","71.7%","75.0%","74.1%","80.8%","61.5%","68.8%","56.3%","0.0%","52.6%","42.9%"
"Ja'Marr Chase","2023","312","100.0%","79.2%","75.8%","82.9%","82.4%","63.6%","85.7%","91.4%","71.4%","84.2%","57.1%"
"Amon-Ra St. Brown","2023","246","100.0%","82.5%","74.1%","87.0%","81.3%","52.2%","53.8%","73.1%","100.0%","87.0%","93.8%"
"DeVonta Smith","2023","263","100.0%","90.0%","84.7%","74.4%","72.7%","55.3%","55.6%","78.9%","77.8%","87.5%","85.7%"
