"Player","Year","Tar","Contested Tar","Contested Tar%","Contested Catch%"
"Cooper Kupp","2019","76","8","10.5%","75.0%"
"Courtland Sutton","2019","69","13","18.8%","84.6%"
"Curtis Samuel","2019","60","11","18.3%","54.5%"
"D.J. Chark","2019","75","21","28.0%","61.9%"
"D.J. Moore","2019","80","15","18.8%","93.3%"
"DK Metcalf","2019","59","16","27.1%","81.3%"
"Darius Slayton","2019","57","22","38.6%","63.6%"
"Davante Adams","2019","91","13","14.3%","76.9%"
"DeAndre Hopkins","2019","81","17","21.0%","82.4%"
"Deebo Samuel","2019","49","9","18.4%","66.7%"
"DeVante Parker","2019","73","23","31.5%","87.0%"
"Diontae Johnson","2019","58","8","13.8%","75.0%"
"Emmanuel Sanders","2019","55","11","20.0%","81.8%"
"Golden Tate","2019","70","8","11.4%","75.0%"
"Hunter Renfrow","2019","55","11","20.0%","63.6%"
"Jamison Crowder","2019","71","9","12.7%","55.6%"
"Jarvis Landry","2019","71","19","26.8%","78.9%"
"John Brown","2019","64","18","28.1%","77.8%"
"JuJu Smith-Schuster","2019","50","9","18.0%","88.9%"
"Julian Edelman","2019","79","7","8.9%","57.1%"
"Julio Jones","2019","94","30","31.9%","80.0%"
"Keenan Allen","2019","93","17","18.3%","76.5%"
"Kenny Golladay","2019","66","16","24.2%","68.8%"
"Marquise Brown","2019","49","7","14.3%","71.4%"
"Marvin Jones","2019","59","15","25.4%","80.0%"
"Michael Gallup","2019","65","26","40.0%","80.8%"
"Michael Thomas","2019","92","17","18.5%","88.2%"
"Mike Evans","2019","79","23","29.1%","87.0%"
"Mike Williams","2019","47","20","42.6%","80.0%"
"Odell Beckham","2019","74","18","24.3%","77.8%"
"Preston Williams","2019","66","18","27.3%","61.1%"
"Robert Woods","2019","77","10","13.0%","70.0%"
"Sammy Watkins","2019","52","7","13.5%","71.4%"
"Stefon Diggs","2019","65","16","24.6%","81.3%"
"Sterling Shepard","2019","70","12","17.1%","66.7%"
"T.Y. Hilton","2019","58","13","22.4%","69.2%"
"Terry McLaurin","2019","55","17","30.9%","82.4%"
"Tyler Boyd","2019","69","10","14.5%","70.0%"
"Tyler Lockett","2019","75","13","17.3%","61.5%"
"Tyreek Hill","2019","75","11","14.7%","63.6%"
"Will Fuller","2019","62","13","21.0%","84.6%"
"A.J. Green","2018","83","25","30.1%","92.0%"
"Adam Thielen","2018","79","9","11.4%","88.9%"
"Albert Wilson*","2018","42","1","2.4%","0.0%"
"Allen Robinson","2018","63","19","30.2%","73.7%"
"Alshon Jeffery","2018","61","16","26.2%","81.3%"
"Amari Cooper","2018","65","4","6.2%","75.0%"
"Anthony Miller","2018","37","6","16.2%","50.0%"
"Antonio Brown","2018","106","14","13.2%","57.1%"
"Brandin Cooks","2018","65","10","15.4%","80.0%"
"Calvin Ridley","2018","48","4","8.3%","50.0%"
"Chris Godwin","2018","58","11","19.0%","81.8%"
"Christian Kirk","2018","49","7","14.3%","85.7%"
"Cooper Kupp","2018","59","7","11.9%","71.4%"
"Corey Davis","2018","63","7","11.1%","57.1%"
"Courtland Sutton","2018","52","12","23.1%","75.0%"
"Curtis Samuel","2018","54","19","35.2%","73.7%"
"D.J. Moore","2018","58","10","17.2%","80.0%"
"Dante Pettis","2018","44","5","11.4%","40.0%"
"Davante Adams","2018","93","13","14.0%","76.9%"
"DeAndre Hopkins","2018","99","28","28.3%","78.6%"
"Dede Westbrook","2018","61","17","27.9%","70.6%"
"DeSean Jackson","2018","65","6","9.2%","66.7%"
"Geronimo Allison*","2018","30","2","6.7%","50.0%"
"Golden Tate","2018","81","9","11.1%","88.9%"
"Jarvis Landry","2018","86","19","22.1%","68.4%"
"John Brown","2018","67","6","9.0%","33.3%"
"JuJu Smith-Schuster","2018","105","14","13.3%","64.3%"
"Julian Edelman","2018","77","7","9.1%","71.4%"
"Julio Jones","2018","98","24","24.5%","83.3%"
"Keenan Allen","2018","93","13","14.0%","76.9%"
"Keke Coutee*","2018","40","6","15.0%","50.0%"
"Kenny Golladay","2018","65","15","23.1%","86.7%"
"Kenny Stills","2018","46","12","26.1%","75.0%"
"Larry Fitzgerald","2018","69","14","20.3%","78.6%"
