Updated 09/23/25 at 09:18pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Isiah Pacheco,RB40,RB,KCC,3477,26.6,No,RB39,2761,RB36,4894
2027 Late 2nd,,PI,,3474,,,,2989.99,,-0.19000000000000003
Tre Harris,WR61,WR,LAC,3471,23.6,Yes,WR59,2864,WR59,4026
2028 Mid 2nd,,PI,,3468,,,,2848,,-0.20000000000000004
Rashid Shaheed,WR62,WR,NOS,3433,27.1,No,WR64,2769,WR60,3971
James Conner,RB41,RB,ARI,3419,30.4,No,RB45,2641,RB27,5762
Darnell Mooney,WR63,WR,ATL,3402,27.9,No,WR65,2698,WR55,4192
Kayshon Boutte,WR64,WR,NEP,3390,23.4,No,WR58,2886,WR76,3191
Jalen Coker,WR65,WR,CAR,3380,23.9,No,WR67,2696,,-0.21000000000000005
Mason Taylor,TE16,TE,NYJ,3333,21.4,Yes,TE17,2666,TE26,3170
Marvin Mims,WR66,WR,DEN,3323,23.5,No,WR66,2697.99,WR56,4163
Tyjae Spears,RB42,RB,TEN,3314,24.3,No,RB46,2633,RB45,4030
Keenan Allen,WR67,WR,LAC,3289,33.4,No,WR61,2859,WR45,5187
Rhamondre Stevenson,RB43,RB,NEP,3265,27.6,No,RB42,2691,RB42,4118
2028 Late 2nd,,PI,,3250,,,,2606,,-0.22000000000000006
Jalen McMillan,WR68,WR,TBB,3247,23.8,No,WR68,2638,WR75,3237
Tyler Allgeier,RB44,RB,ATL,3235,25.4,No,RB44,2642,RB46,3945
Jaylin Noel,WR69,WR,HOU,3230,23.0,Yes,WR69,2616,WR71,3385
Kyle Williams,WR70,WR,NEP,3211,22.8,Yes,WR70,2587,,-0.23000000000000007
Blake Corum,RB45,RB,LAR,3202,24.8,No,RB41,2704,RB49,3716
Travis Kelce,TE17,TE,KCC,3194,36.0,No,TE19,2566,TE8,5165
Rashod Bateman,WR71,WR,BAL,3178,25.8,No,WR72,2517,WR61,3944
Brian Robinson,RB46,RB,SFO,3164,26.5,No,RB49,2525,RB48,3774
Aaron Jones,RB47,RB,MIN,3160,30.8,No,RB47,2565,RB35,4906
Jaydon Blue,RB48,RB,DAL,3146,21.7,Yes,RB51,2456,,-0.24000000000000007
Woody Marks,RB49,RB,HOU,3115,24.7,Yes,RB43,2647,,-0.25000000000000006
Elijah Arroyo,TE18,TE,SEA,3097,22.5,Yes,TE18,2580,TE29,3098
Stefon Diggs,WR72,WR,NEP,3076,31.8,No,WR73,2501,WR51,4579
Juwan Johnson,TE19,TE,NOS,3070,29.0,No,TE16,2842,,-0.26000000000000006
Marquise Brown,WR73,WR,KCC,3044,28.3,No,WR71,2521,WR52,4482
DJ Giddens,RB50,RB,IND,3040,22.1,Yes,RB48,2543,,-0.2700000000000001
Mark Andrews,TE20,TE,BAL,3034,30.0,No,TE22,2484,TE16,4446
Kyle Monangai,RB51,RB,CHI,3016,23.3,Yes,RB50,2505,,-0.2800000000000001
Dallas Goedert,TE21,TE,PHI,2993,30.7,No,TE20,2546,TE17,4025
Jalen Milroe,QB25,QB,SEA,2987,22.8,Yes,QB30,2808,QB30,2344
Jack Bech,WR74,WR,LVR,2978,22.8,Yes,WR75,2424,,-0.2900000000000001
Ja'Tavion Sanders,TE22,TE,CAR,2973,22.5,No,TE21,2497,TE27,3157
Cooper Kupp,WR75,WR,SEA,2971,32.3,No,WR74,2431,WR49,4690
Terrance Ferguson,TE23,TE,LAR,2960,22.5,Yes,TE23,2420,TE33,2465
Rachaad White,RB52,RB,TBB,2926,26.7,No,RB52,2376,RB47,3811
Pat Bryant,WR76,WR,DEN,2922,22.8,Yes,WR79,2353,,-0.3000000000000001
Sam Darnold,QB26,QB,SEA,2909,28.3,No,QB26,3411,QB26,3800
Adonai Mitchell,WR77,WR,IND,2889,23.0,No,WR83,2304,WR79,3016
Tua Tagovailoa,QB27,QB,MIA,2882,27.6,No,QB29,2861.99,QB27,3676
Ray Davis,RB53,RB,BUF,2860,25.9,No,RB56,2179,RB55,3088
2026 Early 3rd,,PI,,2830,,,,2368,,-0.3100000000000001
Joe Mixon,RB54,RB,HOU,2805,29.2,No,RB54,2219,RB54,3287
Dontayvion Wicks,WR78,WR,GBP,2804,24.3,No,WR77,2371,,-0.3200000000000001
Demario Douglas,WR79,WR,NEP,2800,24.8,No,WR81,2321,,-0.3300000000000001
Evan Engram,TE24,TE,DEN,2797,31.0,No,TE28,2236,TE15,4593
Christian Watson,WR80,WR,GBP,2748,26.4,No,WR82,2312,WR81,2833
Tank Dell,WR81,WR,HOU,2737,25.9,No,WR80,2323,WR88,2309
Cade Otton,TE25,TE,TBB,2726,26.4,No,TE27,2240,TE22,3563
Chigoziem Okonkwo,TE26,TE,TEN,2725,26.0,No,TE24,2308,TE28,3110
Xavier Legette,WR82,WR,CAR,2724.99,24.6,No,WR86,2160,WR74,3264
Tank Bigsby,RB55,RB,PHI,2708,24.1,No,RB58,2162,RB50,3590
Alec Pierce,WR83,WR,IND,2707,25.4,No,WR84,2285,WR73,3360
Tre Tucker,WR84,WR,LVR,2680,24.5,No,WR76,2400,,-0.34000000000000014
Matthew Stafford,QB28,QB,LAR,2667,37.6,No,QB27,2958,QB24,4235
Calvin Austin III,WR85,WR,PIT,2655,26.5,No,WR78,2370,WR78,3047
Jalen Royals,WR86,WR,KCC,2654.99,22.6,Yes,WR87,2103,WR80,2984
Nick Chubb,RB56,RB,HOU,2653,29.7,No,RB53,2351,RB44,4078
Jonathon Brooks,RB57,RB,CAR,2652.99,22.2,No,RB55,2180,RB70,1945
2027 Early 3rd,,PI,,2631,,,,2320.99,,-0.35000000000000014
Trevor Etienne,RB58,RB,CAR,2599,21.2,Yes,RB57,2178,RB52,3359
2026 Mid 3rd,,PI,,2596,,,,2279,,-0.36000000000000015
Geno Smith,QB29,QB,LVR,2586,35.0,No,QB28,2863.99,,-0.37000000000000016
Jaylen Wright,RB59,RB,MIA,2573,22.5,No,RB61,2003,RB57,2960
Kendre Miller,RB60,RB,NOS,2569,23.3,No,RB59,2078,RB60,2748
Hunter Henry,TE27,TE,NEP,2567,30.8,No,TE26,2242,TE20,3807
Christian Kirk,WR87,WR,HOU,2526,28.8,No,WR89,2062,WR67,3599
Pat Freiermuth,TE28,TE,PIT,2520,26.9,No,TE30,2109,TE23,3449
Najee Harris,RB61,RB,LAC,2499,27.5,No,RB60,2039,RB41,4155
Zach Ertz,TE29,TE,WAS,2487,34.9,No,TE25,2266,TE19,3852
Keaton Mitchell,RB62,RB,BAL,2484,23.7,No,RB63,1930,,-0.38000000000000017
Joshua Palmer,WR88,WR,BUF,2470,26.0,No,WR90,1964,WR69,3441
2027 Mid 3rd,,PI,,2466,,,,2209,,-0.3900000000000002
Jonnu Smith,TE30,TE,PIT,2449,30.1,No,TE29,2151,TE24,3421
Daniel Jones,QB30,QB,IND,2443,28.3,No,QB23,4092,QB25,4199
Anthony Richardson,QB31,QB,IND,2442.99,23.3,No,QB33,2275,QB29,2359
Tyquan Thornton,WR89,WR,KCC,2409,25.1,No,WR85,2172,WR91,2109
2028 Early 3rd,,PI,,2405,,,,2032,,-0.4000000000000002
Michael Mayer,TE31,TE,LVR,2404,24.2,No,TE32,2026,TE37,2301
Brashard Smith,RB63,RB,KCC,2395,22.4,Yes,RB62,1995,,-0.4100000000000002
Will Shipley,RB64,RB,PHI,2387,23.1,No,RB64,1925,RB62,2730
Tahj Brooks,RB65,RB,CIN,2386,23.4,Yes,RB65,1906,,-0.4200000000000002
Theo Johnson,TE32,TE,NYG,2374,24.6,No,TE33,2013,,-0.4300000000000002
Malik Washington,WR90,WR,MIA,2364,24.7,No,WR88,2098,,-0.4400000000000002
2026 Late 3rd,,PI,,2357,,,,2127,,-0.45000000000000023
Cole Kmet,TE33,TE,CHI,2340,26.5,No,TE31,2031,TE25,3247
Jarquez Hunter,RB66,RB,LAR,2323,22.7,Yes,RB70,1821,,-0.46000000000000024
2027 Late 3rd,,PI,,2265,,,,2038.99,,-0.47000000000000025
Ben Sinnott,TE34,TE,WAS,2261,23.3,No,TE34,1935,,-0.48000000000000026
Kenneth Gainwell,RB67,RB,PIT,2259,26.5,No,RB66,1890,RB61,2738
Devin Neal,RB68,RB,NOS,2251,22.1,Yes,RB67,1879,RB69,2018
Dyami Brown,WR91,WR,JAC,2213,25.9,No,WR92,1918,WR86,2381
Roman Wilson,WR92,WR,PIT,2206,24.3,No,WR93,1861,WR85,2401
KeAndre Lambert-Smith,WR93,WR,LAC,2203,23.9,Yes,WR94,1843,,-0.49000000000000027
Isaiah Bond,WR94,WR,CLE,2200,21.5,Yes,WR91,1949,WR101,1771
Jordan James,RB69,RB,SFO,2173,21.5,Yes,RB74,1745,RB71,1916
Rico Dowdle,RB70,RB,CAR,2150,27.3,No,RB72,1791,,-0.5000000000000002
Isaac Guerendo,RB71,RB,SFO,2147,25.2,No,RB71,1807,,-0.5100000000000002
Jerome Ford,RB72,RB,CLE,2146,26.0,No,RB75,1708,RB51,3435
2028 Mid 3rd,,PI,,2144,,,,1966,,-0.5200000000000002
Chris Rodriguez,RB73,RB,WAS,2129,25.0,No,RB68,1865,RB53,3339
Michael Wilson,WR95,WR,ARI,2119,25.6,No,WR97,1816,,-0.5300000000000002
Sean Tucker,RB74,RB,TBB,2117,23.9,No,RB69,1828,RB66,2690
LeQuint Allen,RB75,RB,JAC,2114,21.1,Yes,RB73,1788,,-0.5400000000000003
Jalen Nailor,WR96,WR,MIN,2108,26.6,No,WR96,1822,,-0.5500000000000003
Roschon Johnson,RB76,RB,CHI,2089,24.6,No,RB78,1670,RB59,2837
Oronde Gadsden,TE35,TE,LAC,2081,22.2,Yes,TE35,1824,,-0.5600000000000003
Dalton Schultz,TE36,TE,HOU,2043,29.2,No,TE36,1806,TE31,2539
2028 Late 3rd,,PI,,2030,,,,1832,,-0.5700000000000003
Parker Washington,WR97,WR,JAC,2029.99,23.5,No,WR98,1772,,-0.5800000000000003
Savion Williams,WR98,WR,GBP,2022,23.8,Yes,WR100,1702,,-0.5900000000000003
MarShawn Lloyd,RB77,RB,GBP,2020,24.7,No,RB76,1705,RB68,2321
Jaylin Lane,WR99,WR,WAS,2012,23.4,Yes,WR95,1823.99,,-0.6000000000000003
Luke Musgrave,TE37,TE,GBP,1990,25.0,No,TE38,1747,TE34,2389
DeAndre Hopkins,WR100,WR,BAL,1989,33.3,No,WR99,1768,WR77,3190
Chimere Dike,WR101,WR,TEN,1974,23.8,Yes,WR102,1626,,-0.6100000000000003
Kareem Hunt,RB78,RB,KCC,1958,30.1,No,RB77,1672,RB58,2848
Shedeur Sanders,QB32,QB,CLE,1945,23.6,Yes,QB36,2023,QB33,1851
2026 Early 4th,,PI,,1937,,,,1737,,-0.6200000000000003
Gunnar Helm,TE38,TE,TEN,1936.99,23.0,Yes,TE39,1706,TE40,1346
AJ Barner,TE39,TE,SEA,1935,23.4,No,TE37,1759,,-0.6300000000000003
Jordan Whittington,WR102,WR,LAR,1915,25.0,No,WR106,1584,,-0.6400000000000003
Andrei Iosivas,WR103,WR,CIN,1913,25.9,No,WR104,1601,,-0.6500000000000004
Noah Gray,TE40,TE,KCC,1909,26.4,No,TE40,1666,TE38,2298
Noah Fant,TE41,TE,CIN,1904,27.8,No,TE41,1649,TE35,2354
Justice Hill,RB79,RB,BAL,1889,27.8,No,RB79,1561,,-0.6600000000000004
Jahan Dotson,WR104,WR,PHI,1888,25.5,No,WR101,1632,WR95,1934
Elijah Moore,WR105,WR,BUF,1871,25.5,No,WR108,1572,WR89,2243
2027 Early 4th,,PI,,1860,,,,1723,,-0.6700000000000004
Isaiah Davis,RB80,RB,NYJ,1835,23.6,No,RB80,1541,,-0.6800000000000004
Luke McCaffrey,WR106,WR,WAS,1828,24.5,No,WR107,1583.99,WR102,1734
Jimmy Horn,WR107,WR,CAR,1809,23.0,Yes,WR103,1604,,-0.6900000000000004
Dawson Knox,TE42,TE,BUF,1805,28.8,No,TE42,1648,TE30,2676
2026 Mid 4th,,PI,,1794,,,,1642,,-0.7000000000000004
Devontez Walker,WR108,WR,BAL,1791,24.3,No,WR111,1545,,-0.7100000000000004
Tyler Shough,QB33,QB,NOS,1779,26.0,Yes,QB38,1965,QB57,1025.99
Xavier Hutchinson,WR109,WR,HOU,1769,25.3,No,WR110,1546,WR97,1862
2027 Mid 4th,,PI,,1750,,,,1630,,-0.7200000000000004
Darius Slayton,WR110,WR,NYG,1740,28.7,No,WR115,1458,WR83,2653
Jalen Tolbert,WR111,WR,DAL,1737,26.6,No,WR105,1595,WR94,1947
Efton Chism,WR112,WR,NEP,1719,23.9,Yes,WR109,1551,,-0.7300000000000004
Tez Johnson,WR113,WR,TBB,1717,23.4,Yes,WR114,1460,WR108,1416
Mike Gesicki,TE43,TE,CIN,1699,30.0,No,TE43,1402,TE32,2506
Miles Sanders,RB81,RB,DAL,1691,28.4,No,RB81,1474,RB65,2696
Jake Browning,QB34,QB,CIN,1690,29.4,No,QB32,2332,,-0.7400000000000004
2028 Early 4th,,PI,,1688,,,,1514,,-0.7500000000000004
Jermaine Burton,WR114,WR,CIN,1687.99,24.2,No,WR118,1405,WR99,1799
Tai Felton,WR115,WR,MIN,1685,22.5,Yes,WR121,1385,,-0.7600000000000005
Hunter Renfrow,WR116,WR,CAR,1677,29.8,No,WR112,1522,WR98,1831
Jalin Hyatt,WR117,WR,NYG,1665,24.0,No,WR120,1388,WR96,1870
Trey Palmer,WR118,WR,NOS,1652,24.5,No,WR125,1314,,-0.7700000000000005
Joe Milton,QB35,QB,DAL,1649,25.6,No,QB39,1739,,-0.7800000000000005
2026 Late 4th,,PI,,1648,,,,1554,,-0.7900000000000005
Olamide Zaccheaus,WR119,WR,CHI,1645,28.2,No,WR113,1486,,-0.8000000000000005
Adam Thielen,WR120,WR,MIN,1635,35.1,No,WR119,1398,WR82,2786
Dillon Gabriel,QB36,QB,CLE,1633,24.7,Yes,QB37,2015,QB36,1154
Kalel Mullings,RB82,RB,TEN,1626,23.0,Yes,RB84,1384,,-0.8100000000000005
Tutu Atwell,WR121,WR,LAR,1606,26.0,No,WR123,1342,WR103,1660
JuJu Smith-Schuster,WR122,WR,KCC,1597,28.8,No,WR116,1450,WR148,1088
Dameon Pierce,RB83,RB,HOU,1588,25.6,No,RB83,1390,RB64,2704
Aaron Rodgers,QB37,QB,PIT,1584,41.8,No,QB34,2247,QB28,2947
Emanuel Wilson,RB84,RB,GBP,1582,26.4,No,RB85,1326,,-0.8200000000000005
John Metchie,WR123,WR,PHI,1580,25.2,No,WR127,1297,WR107,1556
Cade Stover,TE44,TE,HOU,1573,25.3,No,TE45,1300,,-0.8300000000000005
