name,position,team,value
"Amari Cooper",WR,FA,5.8248
2026.5,0,0,5.8125
"Ja'Lynn Polk",WR,NO,5.6343
"JuJu Smith-Schuster",WR,KC,5.4998
"Jaleel McLaughlin",RB,DEN,5.3223
"Damien Martinez",RB,FA,5.2332
"Tez Johnson",WR,TB,5.1503
"KeAndre Lambert-Smith",WR,LAC,5.1439
"Elijah Moore",WR,BUF,5.1228
"Andrei Iosivas",WR,CIN,5.1217
"Kareem Hunt",RB,KC,5.0289
"Tyler Lockett",WR,TEN,4.9477
"Chris Rodriguez",RB,WAS,4.8084
"Kirk Cousins",QB,ATL,4.7750
2027.5,0,0,4.5000
"Jahan Dotson",WR,PHI,4.4638
"LeQuint Allen",RB,JAC,4.4636
"Miles Sanders",RB,DAL,4.3526
"Darren Waller",TE,MIA,4.3411
"KaVontae Turpin",WR,DAL,4.2767
"Brandin Cooks",WR,NO,4.2660
"Malachi Corley",WR,CLE,4.2573
"Alexander Mattison",RB,MIA,4.0570
"Ray-Ray McCloud",WR,ATL,4.0131
"Efton Chism",WR,NE,3.8445
"Devaughn Vele",WR,NO,3.7958
"Kimani Vidal",RB,FA,3.7888
"Jalin Hyatt",WR,NYG,3.7140
"Jermaine Burton",WR,CIN,3.7099
"Hunter Renfrow",WR,CAR,3.6646
"Isaiah Bond",WR,CLE,3.5967
"Darius Slayton",WR,NYG,3.5722
"Noah Brown",WR,WAS,3.3792
"Antonio Gibson",RB,NE,3.3729
"Dameon Pierce",RB,HOU,3.3715
"Kenneth Gainwell",RB,PIT,3.3068
"Elijah Mitchell",RB,KC,3.2810
"Chimere Dike",WR,TEN,3.2085
"Tyquan Thornton",WR,KC,3.0651
"Noah Gray",TE,KC,3.0480
"Taysom Hill",TE,NO,2.7427
"Gunnar Helm",TE,TEN,2.6718
"Dillon Gabriel",QB,CLE,2.6458
"Jeremy McNichols",RB,WAS,2.5540
"Erick All",TE,CIN,2.4005
"Joe Flacco",QB,CLE,2.3656
"Tyler Conklin",TE,LAC,2.3250
"Donovan Edwards",RB,FA,2.2447
"Greg Dortch",WR,FA,2.2249
"Kalel Mullings",RB,TEN,2.1697
"Dylan Laube",RB,LV,2.1304
"Will Dissly",TE,LAC,1.8132
"Samaje Perine",RB,CIN,1.8087
"Will Levis",QB,TEN,1.7653
"Chris Brooks",RB,GB,1.7604
"Jalen Nailor",WR,MIN,1.7488
"Phil Mafah",RB,DAL,1.7289
"Emanuel Wilson",RB,GB,1.6583
"Jared Wiley",TE,KC,1.6093
"Demarcus Robinson",WR,SF,1.6048
"Zack Moss",RB,FA,1.5564
"Zamir White",RB,LV,1.5476
"Tyler Higbee",TE,LAR,1.5186
"Allen Lazard",WR,NYJ,1.4938
"Tai Felton",WR,MIN,1.4611
"Tyler Boyd",WR,FA,1.4316
"Gabe Davis",WR,FA,1.3874
"Ty Chandler",RB,MIN,1.3755
"AJ Dillon",RB,PHI,1.3629
"Jake Bobo",WR,SEA,1.3443
"Dawson Knox",TE,BUF,1.3224
"Jonathan Mingo",WR,DAL,1.3193
"Deshaun Watson",QB,CLE,1.2478
"Malik Willis",QB,GB,1.2249
"Treylon Burks",WR,TEN,1.0898
"Khalil Herbert",RB,FA,1.0762
"Cam Akers",RB,FA,1.0423
"Jacob Cowing",WR,SF,1.0269
"Nick Westbrook-Ikhine",WR,MIA,0.9409
2025.1.01,0,0,0.0000
2025.1.02,0,0,0.0000
2025.1.03,0,0,0.0000
2025.1.04,0,0,0.0000
2025.1.05,0,0,0.0000
2025.1.06,0,0,0.0000
2025.1.07,0,0,0.0000
2025.1.08,0,0,0.0000
2025.1.09,0,0,0.0000
2025.1.10,0,0,0.0000
2025.1.11,0,0,0.0000
2025.1.12,0,0,0.0000
2025.2.01,0,0,0.0000
2025.2.02,0,0,0.0000
2025.2.03,0,0,0.0000
2025.2.04,0,0,0.0000
2025.2.05,0,0,0.0000
2025.2.06,0,0,0.0000
2025.2.07,0,0,0.0000
